Handle,Title,Body (HTML),Vendor,Product Category,Product Type,Tags,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Price,Compare At Price,Image Src,Published,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Requires Shipping,Variant Taxable,Gift Card,SEO Title,SEO Description,Status,Collection
camisete-liga-pimenta-sexy,Camisete Liga Pimenta Sexy,"<div class=""productDescription"">
 Camisete Liga Pimenta Sexy - Miess
 <br/>
 <br/>
 Camisola em renda com detalhes incríveis. Acompanha camisete com cinta liga, calcinha e luvas. Tamanho único.
 <br/>
 <br/>
 Composição:
 <br/>
 <br/>
 86% Poliamida
 <br/>
 14% Elastano
 <br/>
 <br/>
 Tecido:
 <br/>
 <br/>
 100% Poliamida
</div>
",,Saúde e beleza > Cuidados pessoais,Camisete,Camisete,Variação,N/A,,,29722,58.65,,https://miess.vteximg.com.br/arquivos/ids/205364-1000-1000/8013PS-Branco_01.jpg?v=637279328665170000,TRUE,shopify,100,deny,manual,TRUE,TRUE,FALSE,,,active,Camisete
camisete-liga-pimenta-sexy,Camisete Liga Pimenta Sexy,"<div class=""productDescription"">
 Camisete Liga Pimenta Sexy - Miess
 <br/>
 <br/>
 Camisola em renda com detalhes incríveis. Acompanha camisete com cinta liga, calcinha e luvas. Tamanho único.
 <br/>
 <br/>
 Composição:
 <br/>
 <br/>
 86% Poliamida
 <br/>
 14% Elastano
 <br/>
 <br/>
 Tecido:
 <br/>
 <br/>
 100% Poliamida
</div>
",,Saúde e beleza > Cuidados pessoais,Camisete,Camisete,Variação,N/A,,,29723,58.65,,https://miess.vteximg.com.br/arquivos/ids/205366-1000-1000/8013PS-Preto_01.jpg?v=637279334753000000,TRUE,shopify,100,deny,manual,TRUE,TRUE,FALSE,,,active,Camisete
camisete-liga-pimenta-sexy,Camisete Liga Pimenta Sexy,"<div class=""productDescription"">
 Camisete Liga Pimenta Sexy - Miess
 <br/>
 <br/>
 Camisola em renda com detalhes incríveis. Acompanha camisete com cinta liga, calcinha e luvas. Tamanho único.
 <br/>
 <br/>
 Composição:
 <br/>
 <br/>
 86% Poliamida
 <br/>
 14% Elastano
 <br/>
 <br/>
 Tecido:
 <br/>
 <br/>
 100% Poliamida
</div>
",,Saúde e beleza > Cuidados pessoais,Camisete,Camisete,Variação,N/A,,,29724,58.65,,https://miess.vteximg.com.br/arquivos/ids/205368-1000-1000/013PS-Vermelho_01.jpg?v=637279341279870000,TRUE,shopify,100,deny,manual,TRUE,TRUE,FALSE,,,active,Camisete
camisete-liga-plus-size-em-renda-pimenta-sexy,Camisete Liga Plus Size em Renda Pimenta Sexy,"<div class=""productDescription"">
 Camisola em renda com detalhes incríveis e com uma leve transparencia. Com esse modelo além de te deixar muito sensual, você terá todo o conforto durante o uso. Perfeito para uma noite romantica com o parceiro.
 <br/>
 <br/>
 <strong>
  Ficha Técnica:
 </strong>
 <br/>
 <strong>
  Contém:
 </strong>
 Camisete com Cinta liga, Calcinha e Luvas.
 <br/>
 <strong>
  Composição:
 </strong>
 <br/>
 86% Poliamida
 <br/>
 14% Elastano
 <br/>
 <strong>
  Tecido:
 </strong>
 <br/>
 100% Poliamida
 <br/>
 <br/>
 Tamanho único, veste 44 a 50.
 <br/>
 <br/>
 <strong>
  Precauções:
 </strong>
 <br/>
 - Lavar sempre à mão.
 <br/>
 - Utilizar sempre sabão/detergente neutro.
 <br/>
 - Não utilizar alvejante.
 <br/>
 - Não utilizar secadora.
 <br/>
 - Não lavar a seco.
 <br/>
 - Não passar a ferro.
</div>
",,Saúde e beleza > Cuidados pessoais,Camisete,Camisete,Variação,N/A,,,30071,77.52,,https://miess.vteximg.com.br/arquivos/ids/189558-1000-1000/2011PS-U-Branco_1.jpg?v=637194824331600000,TRUE,shopify,100,deny,manual,TRUE,TRUE,FALSE,,,active,Camisete
camisete-liga-plus-size-em-renda-pimenta-sexy,Camisete Liga Plus Size em Renda Pimenta Sexy,"<div class=""productDescription"">
 Camisola em renda com detalhes incríveis e com uma leve transparencia. Com esse modelo além de te deixar muito sensual, você terá todo o conforto durante o uso. Perfeito para uma noite romantica com o parceiro.
 <br/>
 <br/>
 <strong>
  Ficha Técnica:
 </strong>
 <br/>
 <strong>
  Contém:
 </strong>
 Camisete com Cinta liga, Calcinha e Luvas.
 <br/>
 <strong>
  Composição:
 </strong>
 <br/>
 86% Poliamida
 <br/>
 14% Elastano
 <br/>
 <strong>
  Tecido:
 </strong>
 <br/>
 100% Poliamida
 <br/>
 <br/>
 Tamanho único, veste 44 a 50.
 <br/>
 <br/>
 <strong>
  Precauções:
 </strong>
 <br/>
 - Lavar sempre à mão.
 <br/>
 - Utilizar sempre sabão/detergente neutro.
 <br/>
 - Não utilizar alvejante.
 <br/>
 - Não utilizar secadora.
 <br/>
 - Não lavar a seco.
 <br/>
 - Não passar a ferro.
</div>
",,Saúde e beleza > Cuidados pessoais,Camisete,Camisete,Variação,N/A,,,30072,77.52,,https://miess.vteximg.com.br/arquivos/ids/189560-1000-1000/2011PS-U-Preto_1.jpg?v=637194824338970000,TRUE,shopify,100,deny,manual,TRUE,TRUE,FALSE,,,active,Camisete
camisete-liga-plus-size-em-renda-pimenta-sexy,Camisete Liga Plus Size em Renda Pimenta Sexy,"<div class=""productDescription"">
 Camisola em renda com detalhes incríveis e com uma leve transparencia. Com esse modelo além de te deixar muito sensual, você terá todo o conforto durante o uso. Perfeito para uma noite romantica com o parceiro.
 <br/>
 <br/>
 <strong>
  Ficha Técnica:
 </strong>
 <br/>
 <strong>
  Contém:
 </strong>
 Camisete com Cinta liga, Calcinha e Luvas.
 <br/>
 <strong>
  Composição:
 </strong>
 <br/>
 86% Poliamida
 <br/>
 14% Elastano
 <br/>
 <strong>
  Tecido:
 </strong>
 <br/>
 100% Poliamida
 <br/>
 <br/>
 Tamanho único, veste 44 a 50.
 <br/>
 <br/>
 <strong>
  Precauções:
 </strong>
 <br/>
 - Lavar sempre à mão.
 <br/>
 - Utilizar sempre sabão/detergente neutro.
 <br/>
 - Não utilizar alvejante.
 <br/>
 - Não utilizar secadora.
 <br/>
 - Não lavar a seco.
 <br/>
 - Não passar a ferro.
</div>
",,Saúde e beleza > Cuidados pessoais,Camisete,Camisete,Variação,N/A,,,30135,77.52,,https://miess.vteximg.com.br/arquivos/ids/196643-1000-1000/2011PS-U-Vermelho_1.jpg?v=637205927890470000,TRUE,shopify,100,deny,manual,TRUE,TRUE,FALSE,,,active,Camisete
camisete-nadador-estruturado-com-zipper-e-bojo-vi-lingerie,Camisete Nadador Estruturado com Zipper e Bojo Vi Lingerie,"<div class=""productDescription"">
 Camisete Nadador Estruturado com Zipper e Bojo Vi Lingerie
 <br/>
 <br/>
 Composição :
 <br/>
 <br/>
 Tecido
 <br/>
 72,8 % Poliamida
 <br/>
 27,2 % Elastano
 <br/>
 <br/>
 Bojo
 <br/>
 60% Poliuretano
 <br/>
 40% Poliéster
 <br/>
 <br/>
 Forro :
 <br/>
 100% Algodão
</div>
",,Saúde e beleza > Cuidados pessoais,Camisete,Camisete,Variação,N/A,,,34152,15.00,,https://miess.vteximg.com.br/arquivos/ids/183425-1000-1000/330251-40-Preto_1.jpg?v=637191396657100000,TRUE,shopify,0,deny,manual,TRUE,TRUE,FALSE,,,active,Camisete
camisete-nadador-estruturado-com-zipper-e-bojo-vi-lingerie,Camisete Nadador Estruturado com Zipper e Bojo Vi Lingerie,"<div class=""productDescription"">
 Camisete Nadador Estruturado com Zipper e Bojo Vi Lingerie
 <br/>
 <br/>
 Composição :
 <br/>
 <br/>
 Tecido
 <br/>
 72,8 % Poliamida
 <br/>
 27,2 % Elastano
 <br/>
 <br/>
 Bojo
 <br/>
 60% Poliuretano
 <br/>
 40% Poliéster
 <br/>
 <br/>
 Forro :
 <br/>
 100% Algodão
</div>
",,Saúde e beleza > Cuidados pessoais,Camisete,Camisete,Variação,N/A,,,34153,15.00,,https://miess.vteximg.com.br/arquivos/ids/183426-1000-1000/330251-42-Preto_1.jpg?v=637191396661730000,TRUE,shopify,0,deny,manual,TRUE,TRUE,FALSE,,,active,Camisete
camisete-nadador-estruturado-com-zipper-e-bojo-vi-lingerie,Camisete Nadador Estruturado com Zipper e Bojo Vi Lingerie,"<div class=""productDescription"">
 Camisete Nadador Estruturado com Zipper e Bojo Vi Lingerie
 <br/>
 <br/>
 Composição :
 <br/>
 <br/>
 Tecido
 <br/>
 72,8 % Poliamida
 <br/>
 27,2 % Elastano
 <br/>
 <br/>
 Bojo
 <br/>
 60% Poliuretano
 <br/>
 40% Poliéster
 <br/>
 <br/>
 Forro :
 <br/>
 100% Algodão
</div>
",,Saúde e beleza > Cuidados pessoais,Camisete,Camisete,Variação,N/A,,,34154,15.00,,https://miess.vteximg.com.br/arquivos/ids/183427-1000-1000/330251-44-Preto_1.jpg?v=637191396666030000,TRUE,shopify,0,deny,manual,TRUE,TRUE,FALSE,,,active,Camisete
camisete-nadador-estruturado-com-zipper-e-bojo-vi-lingerie,Camisete Nadador Estruturado com Zipper e Bojo Vi Lingerie,"<div class=""productDescription"">
 Camisete Nadador Estruturado com Zipper e Bojo Vi Lingerie
 <br/>
 <br/>
 Composição :
 <br/>
 <br/>
 Tecido
 <br/>
 72,8 % Poliamida
 <br/>
 27,2 % Elastano
 <br/>
 <br/>
 Bojo
 <br/>
 60% Poliuretano
 <br/>
 40% Poliéster
 <br/>
 <br/>
 Forro :
 <br/>
 100% Algodão
</div>
",,Saúde e beleza > Cuidados pessoais,Camisete,Camisete,Variação,N/A,,,34155,15.00,,https://miess.vteximg.com.br/arquivos/ids/183428-1000-1000/330251-46-Preto_1.jpg?v=637191396670830000,TRUE,shopify,0,deny,manual,TRUE,TRUE,FALSE,,,active,Camisete
