Handle,Title,Body (HTML),Vendor,Product Category,Product Type,Tags,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Price,Compare At Price,Image Src,Published,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Requires Shipping,Variant Taxable,Gift Card,SEO Title,SEO Description,Status,Collection
cinta-liga-dupla-com-detalhes-em-renda-pimenta-sexy,Cinta Liga Dupla com Detalhes em Renda Pimenta Sexy,"<div class=""productDescription"">
 Se você deseja elevar sua auto estima e surpreender o parceiro a cinta liga pode te ajudar. O modelo é duplo e para completar você colocar uma meia da mesma cor que a peça. Use para surpreender o parceiro em algum momento especial ou simplesmente para se sentir poderosa.
 <br/>
 <br/>
 <strong>
  Ficha Técnica
 </strong>
 <br/>
 <strong>
  Material:
 </strong>
 <br/>
 96% poliamida
 <br/>
 04% elastano
 <br/>
 <br/>
 Não acompanha meia e calcinha.
 <br/>
 <br/>
 <strong>
  Modo de Lavar:
 </strong>
 <br/>
 Retirar o led.
 <br/>
 Lavagem manual, máximo 40°C
 <br/>
 Não alvejar
 <br/>
 Não secar em tambor
 <br/>
 Passar em no máximo 110°C
 <br/>
 Não limpar a seco.
 <br/>
 <br/>
 <strong>
  Modo de Secagem:
 </strong>
 <br/>
 Secar por gotejamento.
 <br/>
 Ao abrigo do Sol.
</div>
",,Saúde e beleza > Cuidados pessoais,Cinta Liga,Cinta Liga,cor,Vermelho,,,30804,22.08,,https://miess.vteximg.com.br/arquivos/ids/204064-1000-1000/8380-U-Vermelho_1.jpg?v=637250649550500000,TRUE,shopify,100,deny,manual,TRUE,TRUE,FALSE,,,active,Cinta Liga
cinta-liga-dupla-com-detalhes-em-renda-pimenta-sexy,Cinta Liga Dupla com Detalhes em Renda Pimenta Sexy,"<div class=""productDescription"">
 Se você deseja elevar sua auto estima e surpreender o parceiro a cinta liga pode te ajudar. O modelo é duplo e para completar você colocar uma meia da mesma cor que a peça. Use para surpreender o parceiro em algum momento especial ou simplesmente para se sentir poderosa.
 <br/>
 <br/>
 <strong>
  Ficha Técnica
 </strong>
 <br/>
 <strong>
  Material:
 </strong>
 <br/>
 96% poliamida
 <br/>
 04% elastano
 <br/>
 <br/>
 Não acompanha meia e calcinha.
 <br/>
 <br/>
 <strong>
  Modo de Lavar:
 </strong>
 <br/>
 Retirar o led.
 <br/>
 Lavagem manual, máximo 40°C
 <br/>
 Não alvejar
 <br/>
 Não secar em tambor
 <br/>
 Passar em no máximo 110°C
 <br/>
 Não limpar a seco.
 <br/>
 <br/>
 <strong>
  Modo de Secagem:
 </strong>
 <br/>
 Secar por gotejamento.
 <br/>
 Ao abrigo do Sol.
</div>
",,Saúde e beleza > Cuidados pessoais,Cinta Liga,Cinta Liga,cor,Branco,,,30802,22.08,,https://miess.vteximg.com.br/arquivos/ids/204060-1000-1000/8380-U-Branco_1.jpg?v=637250648185630000,TRUE,shopify,100,deny,manual,TRUE,TRUE,FALSE,,,active,Cinta Liga
cinta-liga-dupla-com-detalhes-em-renda-pimenta-sexy,Cinta Liga Dupla com Detalhes em Renda Pimenta Sexy,"<div class=""productDescription"">
 Se você deseja elevar sua auto estima e surpreender o parceiro a cinta liga pode te ajudar. O modelo é duplo e para completar você colocar uma meia da mesma cor que a peça. Use para surpreender o parceiro em algum momento especial ou simplesmente para se sentir poderosa.
 <br/>
 <br/>
 <strong>
  Ficha Técnica
 </strong>
 <br/>
 <strong>
  Material:
 </strong>
 <br/>
 96% poliamida
 <br/>
 04% elastano
 <br/>
 <br/>
 Não acompanha meia e calcinha.
 <br/>
 <br/>
 <strong>
  Modo de Lavar:
 </strong>
 <br/>
 Retirar o led.
 <br/>
 Lavagem manual, máximo 40°C
 <br/>
 Não alvejar
 <br/>
 Não secar em tambor
 <br/>
 Passar em no máximo 110°C
 <br/>
 Não limpar a seco.
 <br/>
 <br/>
 <strong>
  Modo de Secagem:
 </strong>
 <br/>
 Secar por gotejamento.
 <br/>
 Ao abrigo do Sol.
</div>
",,Saúde e beleza > Cuidados pessoais,Cinta Liga,Cinta Liga,cor,Preto,,,30803,22.08,,https://miess.vteximg.com.br/arquivos/ids/204062-1000-1000/8380-U-Preto_1.jpg?v=637250648916330000,TRUE,shopify,100,deny,manual,TRUE,TRUE,FALSE,,,active,Cinta Liga
cinta-liga-simples-com-fechamento-nas-costas-em-renda--pimenta-sexy,Cinta Liga Simples com Fechamento nas Costas em Renda  Pimenta Sexy,"<div class=""productDescription"">
 As cintas-liga são uma das peças mais sensuais do guarda roupa feminino, o modelo é simples e você usa-lo junto com uma meia. Ela cai muito bem para momentos inesquecíveis.
 <br/>
 <br/>
 <strong>
  Ficha Técnica
 </strong>
 <br/>
 <strong>
  Material:
 </strong>
 <br/>
 96% poliamida
 <br/>
 06% elastano
 <br/>
 <br/>
 <strong>
  Informações Adicionais:
 </strong>
 As presilhas da liga são enviadas embaladas separadamente da cinta liga.
 <br/>
 <br/>
 Não acompanha meia e calcinha.
 <br/>
 <br/>
 <strong>
  Modo de Lavar:
 </strong>
 <br/>
 Lavagem manual, máximo 40°C
 <br/>
 Não alvejar
 <br/>
 Não secar em tambor
 <br/>
 Passar em no máximo 110°C
 <br/>
 Não limpar a seco.
 <br/>
 <br/>
 <strong>
  Modo de Secagem:
 </strong>
 <br/>
 Secar por gotejamento.
 <br/>
 Ao abrigo do Sol.
</div>
",,Saúde e beleza > Cuidados pessoais,Cinta Liga,Cinta Liga,cor,Preto,,,30758,13.80,,https://miess.vteximg.com.br/arquivos/ids/196881-1000-1000/8383-U-Preto_1.jpg?v=637205928908000000,TRUE,shopify,100,deny,manual,TRUE,TRUE,FALSE,,,active,Cinta Liga
cinta-liga-simples-com-fechamento-nas-costas-em-renda--pimenta-sexy,Cinta Liga Simples com Fechamento nas Costas em Renda  Pimenta Sexy,"<div class=""productDescription"">
 As cintas-liga são uma das peças mais sensuais do guarda roupa feminino, o modelo é simples e você usa-lo junto com uma meia. Ela cai muito bem para momentos inesquecíveis.
 <br/>
 <br/>
 <strong>
  Ficha Técnica
 </strong>
 <br/>
 <strong>
  Material:
 </strong>
 <br/>
 96% poliamida
 <br/>
 06% elastano
 <br/>
 <br/>
 <strong>
  Informações Adicionais:
 </strong>
 As presilhas da liga são enviadas embaladas separadamente da cinta liga.
 <br/>
 <br/>
 Não acompanha meia e calcinha.
 <br/>
 <br/>
 <strong>
  Modo de Lavar:
 </strong>
 <br/>
 Lavagem manual, máximo 40°C
 <br/>
 Não alvejar
 <br/>
 Não secar em tambor
 <br/>
 Passar em no máximo 110°C
 <br/>
 Não limpar a seco.
 <br/>
 <br/>
 <strong>
  Modo de Secagem:
 </strong>
 <br/>
 Secar por gotejamento.
 <br/>
 Ao abrigo do Sol.
</div>
",,Saúde e beleza > Cuidados pessoais,Cinta Liga,Cinta Liga,cor,Branco,,,30759,13.80,,https://miess.vteximg.com.br/arquivos/ids/196884-1000-1000/8383-U-Branco_1.jpg?v=637205928917930000,TRUE,shopify,100,deny,manual,TRUE,TRUE,FALSE,,,active,Cinta Liga
cinta-liga-simples-com-fechamento-nas-costas-em-renda--pimenta-sexy,Cinta Liga Simples com Fechamento nas Costas em Renda  Pimenta Sexy,"<div class=""productDescription"">
 As cintas-liga são uma das peças mais sensuais do guarda roupa feminino, o modelo é simples e você usa-lo junto com uma meia. Ela cai muito bem para momentos inesquecíveis.
 <br/>
 <br/>
 <strong>
  Ficha Técnica
 </strong>
 <br/>
 <strong>
  Material:
 </strong>
 <br/>
 96% poliamida
 <br/>
 06% elastano
 <br/>
 <br/>
 <strong>
  Informações Adicionais:
 </strong>
 As presilhas da liga são enviadas embaladas separadamente da cinta liga.
 <br/>
 <br/>
 Não acompanha meia e calcinha.
 <br/>
 <br/>
 <strong>
  Modo de Lavar:
 </strong>
 <br/>
 Lavagem manual, máximo 40°C
 <br/>
 Não alvejar
 <br/>
 Não secar em tambor
 <br/>
 Passar em no máximo 110°C
 <br/>
 Não limpar a seco.
 <br/>
 <br/>
 <strong>
  Modo de Secagem:
 </strong>
 <br/>
 Secar por gotejamento.
 <br/>
 Ao abrigo do Sol.
</div>
",,Saúde e beleza > Cuidados pessoais,Cinta Liga,Cinta Liga,cor,Vermelho,,,30760,13.80,,https://miess.vteximg.com.br/arquivos/ids/196888-1000-1000/8383-U-Vermelho_1.jpg?v=637205928926800000,TRUE,shopify,100,deny,manual,TRUE,TRUE,FALSE,,,active,Cinta Liga
persex-liga-com-3-faixas-pimenta-sexy,Persex Liga com 3 Faixas Pimenta Sexy,"<div class=""productDescription"">
 A lingerie é a primeira peça a vestir o corpo feminino. O persex cinta é ideal para momentos inesquecíveis. Além de lindo, o modelo possui modelagem toda estruturada que destaca as curvas do corpo. Esbanjando muita sensualidade, é perfeito para curtir momentos únicos a dois.
 <br/>
 <br/>
 <strong>
  Ficha Técnica
 </strong>
 <br/>
 <strong>
  Material:
 </strong>
 <br/>
 96% poliamida
 <br/>
 06% elastano
 <br/>
 <br/>
 Não acompanha meia e calcinha.
 <br/>
 <br/>
 <strong>
  Modo de Lavar:
 </strong>
 <br/>
 Retirar o led.
 <br/>
 Lavagem manual, máximo 40°C
 <br/>
 Não alvejar
 <br/>
 Não secar em tambor
 <br/>
 Passar em no máximo 110°C
 <br/>
 Não limpar a seco.
 <br/>
 <br/>
 <strong>
  Modo de Secagem:
 </strong>
 <br/>
 Secar por gotejamento.
 <br/>
 Ao abrigo do Sol.
</div>
",,Saúde e beleza > Cuidados pessoais,Cinta Liga,Cinta Liga,cor,Preto,,,30755,20.70,,https://miess.vteximg.com.br/arquivos/ids/179213-1000-1000/8386-U-Preto_1.jpg?v=637183742242930000,TRUE,shopify,100,deny,manual,TRUE,TRUE,FALSE,,,active,Cinta Liga
persex-liga-com-3-faixas-pimenta-sexy,Persex Liga com 3 Faixas Pimenta Sexy,"<div class=""productDescription"">
 A lingerie é a primeira peça a vestir o corpo feminino. O persex cinta é ideal para momentos inesquecíveis. Além de lindo, o modelo possui modelagem toda estruturada que destaca as curvas do corpo. Esbanjando muita sensualidade, é perfeito para curtir momentos únicos a dois.
 <br/>
 <br/>
 <strong>
  Ficha Técnica
 </strong>
 <br/>
 <strong>
  Material:
 </strong>
 <br/>
 96% poliamida
 <br/>
 06% elastano
 <br/>
 <br/>
 Não acompanha meia e calcinha.
 <br/>
 <br/>
 <strong>
  Modo de Lavar:
 </strong>
 <br/>
 Retirar o led.
 <br/>
 Lavagem manual, máximo 40°C
 <br/>
 Não alvejar
 <br/>
 Não secar em tambor
 <br/>
 Passar em no máximo 110°C
 <br/>
 Não limpar a seco.
 <br/>
 <br/>
 <strong>
  Modo de Secagem:
 </strong>
 <br/>
 Secar por gotejamento.
 <br/>
 Ao abrigo do Sol.
</div>
",,Saúde e beleza > Cuidados pessoais,Cinta Liga,Cinta Liga,cor,Branco,,,30756,20.70,,https://miess.vteximg.com.br/arquivos/ids/204195-1000-1000/8386-U-Branco_1.jpg?v=637251424034830000,TRUE,shopify,100,deny,manual,TRUE,TRUE,FALSE,,,active,Cinta Liga
persex-liga-com-3-faixas-pimenta-sexy,Persex Liga com 3 Faixas Pimenta Sexy,"<div class=""productDescription"">
 A lingerie é a primeira peça a vestir o corpo feminino. O persex cinta é ideal para momentos inesquecíveis. Além de lindo, o modelo possui modelagem toda estruturada que destaca as curvas do corpo. Esbanjando muita sensualidade, é perfeito para curtir momentos únicos a dois.
 <br/>
 <br/>
 <strong>
  Ficha Técnica
 </strong>
 <br/>
 <strong>
  Material:
 </strong>
 <br/>
 96% poliamida
 <br/>
 06% elastano
 <br/>
 <br/>
 Não acompanha meia e calcinha.
 <br/>
 <br/>
 <strong>
  Modo de Lavar:
 </strong>
 <br/>
 Retirar o led.
 <br/>
 Lavagem manual, máximo 40°C
 <br/>
 Não alvejar
 <br/>
 Não secar em tambor
 <br/>
 Passar em no máximo 110°C
 <br/>
 Não limpar a seco.
 <br/>
 <br/>
 <strong>
  Modo de Secagem:
 </strong>
 <br/>
 Secar por gotejamento.
 <br/>
 Ao abrigo do Sol.
</div>
",,Saúde e beleza > Cuidados pessoais,Cinta Liga,Cinta Liga,cor,Vermelho,,,30757,20.70,,https://miess.vteximg.com.br/arquivos/ids/203129-1000-1000/8386-u-vermelho_1.jpg?v=637231699421930000,TRUE,shopify,100,deny,manual,TRUE,TRUE,FALSE,,,active,Cinta Liga
tanga-liga-pimenta-sexy,Tanga Liga Pimenta Sexy,"<div class=""productDescription"">
 Tanga Liga Pimenta Sexy - Miess
 <br/>
 <br/>
 Uma tanga muito charmosa e sensual. Tanga em renda e tule com liga. Tamanho único.
 <br/>
 <br/>
 Composição:
 <br/>
 <br/>
 86% Poliamida
 <br/>
 14% Elastano
 <br/>
 <br/>
 Tecido:
 <br/>
 <br/>
 100% Poliamida
</div>
",,Saúde e beleza > Cuidados pessoais,Cinta Liga,Cinta Liga,cor,Preto,,,57,19.59,,https://miess.vteximg.com.br/arquivos/ids/207435-1000-1000/6000Preto_1.jpg?v=637339587383370000,TRUE,shopify,100,deny,manual,TRUE,TRUE,FALSE,,,active,Cinta Liga
