Handle,Title,Body (HTML),Vendor,Product Category,Product Type,Tags,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Price,Compare At Price,Image Src,Published,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Requires Shipping,Variant Taxable,Gift Card,SEO Title,SEO Description,Status,Collection
raspadinha-do-swing-miess,Raspadinha do Swing Miess,"<div class=""productDescription"">
 Está sem ideias? Quer inovar e fazer algo novo na relação? A
 <strong>
  Raspadinha do Swing
 </strong>
 é ideal para te ajudar. Faça brincadeiras, deixe que a sorte decida por você o que fazer e onde. Viva essa experiência.
 <br/>
 <br/>
 <strong>
  Ficha Técnica
 </strong>
 <br/>
 <strong>
  Modo de Uso:
 </strong>
 <br/>
 Raspe 1 quadradinho na área e se jogue nessa brincadeira.
 <br/>
 <br/>
 <p>
  Confira também:
  <a href=""https://www.miess.com.br/baralho-kama-sutra-soft-hot-flowers-hz400/p"">
   Baralho Kama Sutra Hot Flowers
  </a>
  .
 </p>
</div>
",,Saúde e beleza > Cuidados pessoais,Brincadeiras,Brincadeiras,Variação,N/A,,,64873,0.43,,https://miess.vteximg.com.br/arquivos/ids/285839-1000-1000/RMSG_1.jpg?v=638070538344670000,TRUE,shopify,100,deny,manual,TRUE,TRUE,FALSE,,,active,Brincadeiras
raspadinha-do-amor-miess,Raspadinha do Amor Miess,"<div class=""productDescription"">
 Está sem ideias? Quer inovar e fazer algo novo na relação? A
 <strong>
  Raspadinha O Amor Está no Ar
 </strong>
 é ideal para te ajudar. Faça brincadeiras, deixe que a sorte decida por você o que fazer e onde. Viva essa experiência.
 <br/>
 <br/>
 <strong>
  Ficha Técnica
 </strong>
 <br/>
 <strong>
  Modo de Uso:
 </strong>
 <br/>
 Raspe 1 quadradinho na área “o que fazer” e outro na área “parte do corpo” e se jogue nessa brincadeira.
 <br/>
 <br/>
 <p>
  Confira também:
  <a href=""https://www.miess.com.br/baralho-kama-sutra-soft-hot-flowers-hz400/p"">
   Baralho Kama Sutra Hot Flowers
  </a>
  .
 </p>
</div>
",,Saúde e beleza > Cuidados pessoais,Brincadeiras,Brincadeiras,Variação,N/A,,,64867,0.43,,https://miess.vteximg.com.br/arquivos/ids/285832-1000-1000/RMAR_1.jpg?v=638070533447370000,TRUE,shopify,100,deny,manual,TRUE,TRUE,FALSE,,,active,Brincadeiras
raspadinha-das-preliminares-miess,Raspadinha das Preliminares Miess,"<div class=""productDescription"">
 Está sem ideias? Quer inovar e fazer algo novo na relação? A
 <strong>
  Raspadinha das Preliminares
 </strong>
 é ideal para te ajudar. Faça brincadeiras, deixe que a sorte decida por você o que fazer e onde. Viva essa experiência.
 <br/>
 <br/>
 <strong>
  Ficha Técnica
 </strong>
 <br/>
 <strong>
  Modo de Uso:
 </strong>
 <br/>
 Raspe 1 quadradinho na área “com o que” e outro na área “parte do corpo” e se jogue nessa brincadeira.
 <br/>
 <br/>
 <p>
  Confira também:
  <a href=""https://www.miess.com.br/baralho-kama-sutra-soft-hot-flowers-hz400/p"">
   Baralho Kama Sutra Hot Flowers
  </a>
  .
 </p>
</div>
",,Saúde e beleza > Cuidados pessoais,Brincadeiras,Brincadeiras,Variação,N/A,,,64874,0.43,,https://miess.vteximg.com.br/arquivos/ids/285837-1000-1000/RMPL_1.jpg?v=638070537495500000,TRUE,shopify,100,deny,manual,TRUE,TRUE,FALSE,,,active,Brincadeiras
raspadinha-do-kama-sutra-miess,Raspadinha do Kama Sutra Miess,"<div class=""productDescription"">
 Está sem ideias? Quer inovar e fazer algo novo na relação? A
 <strong>
  Raspadinha KAMA SUTRA
 </strong>
 é ideal para te ajudar. Faça brincadeiras, deixe que a sorte decida por você o que fazer e onde. Viva essa experiência.
 <br/>
 <br/>
 <strong>
  Ficha Técnica
 </strong>
 <br/>
 <strong>
  Modo de Uso:
 </strong>
 <br/>
 Raspe 1 quadradinho na área e se jogue nessa brincadeira.
 <br/>
 <br/>
 <p>
  Confira também:
  <a href=""https://www.miess.com.br/baralho-kama-sutra-soft-hot-flowers-hz400/p"">
   Baralho Kama Sutra Hot Flowers
  </a>
  .
 </p>
</div>
",,Saúde e beleza > Cuidados pessoais,Brincadeiras,Brincadeiras,Variação,N/A,,,64868,0.43,,https://miess.vteximg.com.br/arquivos/ids/285835-1000-1000/RMKS_1.jpg?v=638070536476600000,TRUE,shopify,100,deny,manual,TRUE,TRUE,FALSE,,,active,Brincadeiras
baralho-kama-sutra-super-erótico-miss-collection,Baralho Kama Sutra Super Erótico Miss Collection,"<div class=""productDescription"">
 Baralho kama sutra super erótico confeccionado em papel couché brilhante 180g com 54 cartas e imagens super explícitas. Perfeito para uma brincadeira super excitante que com certeza vai terminar em uma relação bem mais quente.
 <br/>
 <br/>
 <strong>
  Ficha Técnica
 </strong>
 <br/>
 <strong>
  Composição:
 </strong>
 Papel Couché brilhante 180g
 <br/>
 <strong>
  Contém:
 </strong>
 <br/>
 1 Baralho com 54 Cartas .
 <br/>
 <br/>
 <strong>
  Cuidados:
 </strong>
 <br/>
 Não Molhar;
 <br/>
 Manter em local arejado e seco;
 <br/>
 Manter fora do alcance de crianças e animais domésticos;
 <br/>
 Não Dobrar;
 <br/>
 <br/>
 <p>
  Confira também:
  <a href=""https://www.miess.com.br/baralho-kama-sutra-soft-hot-flowers-hz400/p"">
   Baralho Kama Sutra Hot Flowers
  </a>
  .
 </p>
 <br/>
</div>
",,Saúde e beleza > Cuidados pessoais,Brincadeiras,Brincadeiras,Variação,N/A,,,39945,12.32,,https://miess.vteximg.com.br/arquivos/ids/193189-1000-1000/MC97_1.jpg?v=637200756018070000,TRUE,shopify,100,deny,manual,TRUE,TRUE,FALSE,,,active,Brincadeiras
jogo-do-prazer-hot-diversão-ao-cubo,Jogo do Prazer Hot Diversão ao Cubo,"<div class=""productDescription"">
 <b>
  Jogo do Prazer Hot Diversão ao Cubo
 </b>
 <br/>
 <br/>
 <b>
  Ficha Técnica:
 </b>
 <br/>
 Contém 2 Dados;
 <br/>
 Com as descrições: Chão, Chuveiro, Sofá, Quarto e Cozinha;
 <br/>
 Com cinco posições sexuais e um coringa;
 <br/>
 Embalagem prática;
 <br/>
 <br/>
 <b>
  Ambiente:
 </b>
 <br/>
 Em sua casa, no motel e hotel, com sua parceira (o), em uma ocasião especial ou no seu dia a dia.
 <br/>
 <br/>
 <b>
  Região de Aplicação:
 </b>
 <br/>
 Em qualquer lugar plano que você deseja começar as preliminares.
 <br/>
 <br/>
 <b>
  Função:
 </b>
 <br/>
 Estimula o desejo do homem e da mulher em qualquer ambiente.
 <br/>
 <br/>
 <b>
  Indicado:
 </b>
 <br/>
 Para ser carregado na bolsa, em sua nécessaire ou na mala.
 <br/>
 <br/>
 <b>
  Contraindicado:
 </b>
 <br/>
 Usar na presença de crianças.
 <br/>
 <br/>
 <b>
  Público-alvo:
 </b>
 <br/>
 Mulheres e homens com desejo de sair da rotina.
 <br/>
 <br/>
 <b>
  Descrição:
 </b>
 <br/>
 Produto fácil de manusear. Ótimo para pessoas iniciantes no mercado erótico.
 <br/>
 <br/>
 <b>
  Modo de uso:
 </b>
 <br/>
 Tire do plástico e após criar um clima mostre-o para seu parceiro e jogue em um local plano e realize a posição e local que sair.
 <br/>
 <br/>
 <b>
  Mensagem-chave na hora da venda:
 </b>
 <br/>
 Deseja ter um momento íntimo mais divertido? Não tem ideias de que produto erótico começar a usar? Quer prolongar o ato sexual em geral em todas as posições saindo totalmente da rotina? Quer inovar na hora h? Fazer algo diferente? Deseja sair da rotina? Esse é o produto ideal para todos esses fatores.
 <br/>
 <br/>
 <b>
  Precauções:
 </b>
 <br/>
 Manter fora do alcance das crianças. Conservar em temperatura ambiente.
 <br/>
 <p>
  Confira também:
  <a href=""https://www.miess.com.br/baralho-kama-sutra-soft-hot-flowers-hz400/p"">
   Baralho Kama Sutra Hot Flowers
  </a>
  .
 </p>
</div>
",,Saúde e beleza > Cuidados pessoais,Brincadeiras,Brincadeiras,Variação,N/A,,,4062,6.09,,https://miess.vteximg.com.br/arquivos/ids/214731-1000-1000/DIVER04_1.jpg?v=637456503814600000,TRUE,shopify,100,deny,manual,TRUE,TRUE,FALSE,,,active,Brincadeiras
raspadinha-do-strip-tease-miess,Raspadinha do Strip Tease Miess,"<div class=""productDescription"">
 Está sem ideias? Quer inovar e fazer algo novo na relação? A
 <strong>
  Raspadinha do Strip Tease
 </strong>
 é ideal para te ajudar. Faça brincadeiras, deixe que a sorte decida por você o que fazer e onde. Viva essa experiência.
 <br/>
 <br/>
 <strong>
  Ficha Técnica
 </strong>
 <br/>
 <strong>
  Modo de Uso:
 </strong>
 <br/>
 Raspe 1 quadradinho na área e se jogue nessa brincadeira.
 <br/>
 <br/>
 <p>
  Confira também:
  <a href=""https://www.miess.com.br/baralho-kama-sutra-soft-hot-flowers-hz400/p"">
   Baralho Kama Sutra Hot Flowers
  </a>
  .
 </p>
</div>
",,Saúde e beleza > Cuidados pessoais,Brincadeiras,Brincadeiras,Variação,N/A,,,64875,0.43,,https://miess.vteximg.com.br/arquivos/ids/285840-1000-1000/RMST_1.jpg?v=638070538817400000,TRUE,shopify,100,deny,manual,TRUE,TRUE,FALSE,,,active,Brincadeiras
raspadinha-do-oral-miess,Raspadinha do Oral Miess,"<div class=""productDescription"">
 Está sem ideias? Quer inovar e fazer algo novo na relação? A
 <strong>
  Raspadinha do Oral
 </strong>
 é ideal para te ajudar. Faça brincadeiras, deixe que a sorte decida por você o que fazer e onde. Viva essa experiência.
 <br/>
 <br/>
 <strong>
  Ficha Técnica
 </strong>
 <br/>
 <strong>
  Modo de Uso:
 </strong>
 <br/>
 Raspe 1 quadradinho na área e se jogue nessa brincadeira.
 <br/>
 <br/>
 <p>
  Confira também:
  <a href=""https://www.miess.com.br/baralho-kama-sutra-soft-hot-flowers-hz400/p"">
   Baralho Kama Sutra Hot Flowers
  </a>
  .
 </p>
</div>
",,Saúde e beleza > Cuidados pessoais,Brincadeiras,Brincadeiras,Variação,N/A,,,64871,0.43,,https://miess.vteximg.com.br/arquivos/ids/285836-1000-1000/RMOL_1.jpg?v=638070537020270000,TRUE,shopify,100,deny,manual,TRUE,TRUE,FALSE,,,active,Brincadeiras
raspadinha-do-beijo-miess,Raspadinha do Beijo Miess,"<div class=""productDescription"">
 Está sem ideias? Quer inovar e fazer algo novo na relação? A
 <strong>
  Raspadinha do Beijo
 </strong>
 é ideal para te ajudar. Faça brincadeiras, deixe que a sorte decida por você o que fazer e onde. Viva essa experiência.
 <br/>
 <br/>
 <strong>
  Ficha Técnica
 </strong>
 <br/>
 <strong>
  Modo de Uso:
 </strong>
 <br/>
 Raspe 1 quadradinho na área e se jogue nessa brincadeira.
 <br/>
 <br/>
 <p>
  Confira também:
  <a href=""https://www.miess.com.br/baralho-kama-sutra-soft-hot-flowers-hz400/p"">
   Baralho Kama Sutra Hot Flowers
  </a>
  .
 </p>
</div>
",,Saúde e beleza > Cuidados pessoais,Brincadeiras,Brincadeiras,Variação,N/A,,,64869,0.43,,https://miess.vteximg.com.br/arquivos/ids/285833-1000-1000/RMBJ_1.jpg?v=638070533978970000,TRUE,shopify,100,deny,manual,TRUE,TRUE,FALSE,,,active,Brincadeiras
"dice-romantic-dados-eróticos-com-fetiche,-posição-e-lugar-diversão-ao-cubo","Dice Romantic Dados Eróticos com Fetiche, Posição e Lugar Diversão ao Cubo","<div class=""productDescription"">
 <p>
  Uma ótima maneira de quebrar a rotina e
  <strong>
   explorar
  </strong>
  novos horizontes na vida
  <strong>
   sexual
  </strong>
  , são os
  <strong>
   jogos eróticos
  </strong>
  . Eles entram na relação para
  <strong>
   reacender
  </strong>
  o fogo e instigar o lado
  <strong>
   safado
  </strong>
  da relação, estimulando os sentidos e
  <strong>
   esquentando
  </strong>
  o clima entre o casal, além de aumentar a
  <strong>
   intimidade
  </strong>
  e a cumplicidade com a pessoa que você se relaciona e deixa o clima mais leve e
  <strong>
   divertido
  </strong>
  , fazendo vocês se conhecerem melhor tanto na cama, como fora dela.
 </p>
 <br/>
 <h3>
  <strong>
   Como esquentar o seu momento à dois com o Dice Romantic?
  </strong>
 </h3>
 <br/>
 <p>
  O
  <strong>
   Dice Romantic
  </strong>
  da
  <strong>
   Diversão ao Cubo
  </strong>
  vem com
  <strong>
   3 dados
  </strong>
  para tornar a brincadeira ainda mais
  <strong>
   excitante
  </strong>
  , 01 dado representa o fetiche que o casal terá que fazer, 01 dado a posição, e o último dado o lugar, diversão e prazer não vão faltar.
  <br/>
  Além de ter a oportunidade de realizar
  <strong>
   fetiches
  </strong>
  , você também pode experimentar novas
  <strong>
   posições
  </strong>
  e descobrir que não é só na cama que dá para transar, que pode explorar outros lugares e se aventurar, tornando a
  <strong>
   experiência
  </strong>
  além de prazerosa, engraçada.
 </p>
 <br/>
 <p>
  <strong>
   Regras do jogo:
  </strong>
 </p>
 <br/>
 <ul>
  <li>
   • Para maiores de +18 anos;
   <br/>
   <li>
    • Necessário 2 ou mais jogadores;
    <br/>
    <li>
     • Provocar a imaginação dos jogadores.
    </li>
   </li>
  </li>
 </ul>
 <br/>
 <p>
 </p>
 <br/>
 <h3>
  <strong>
   Quais os benefícios do Dado Erótico?
  </strong>
 </h3>
 <br/>
 <ul>
  <li>
   • Provocante;
   <br/>
   <li>
    • Brincadeira erótica;
    <br/>
    <li>
     • Saindo da rotina;
     <br/>
     <li>
      • Diversão prazerosa.
     </li>
    </li>
   </li>
  </li>
 </ul>
 <br/>
 <h3>
  <strong>
   Ficha Técnica
  </strong>
 </h3>
 <br/>
 <ul>
  <li>
   •
   <strong>
    Contém:
   </strong>
   03 Cubos
   <br/>
   <li>
    •
    <strong>
     Embalagem
    </strong>
    : Plástica
    <br/>
    <li>
     <strong>
      • Validade:
     </strong>
     Indeterminada
     <strong>
      .
     </strong>
    </li>
   </li>
  </li>
 </ul>
 <br/>
 <h3>
  <strong>
   Qual a Composição do Dice Romantic?
  </strong>
 </h3>
 <br/>
 <p>
  Os Cubos são compostos por material poliestireno.
 </p>
 <br/>
 <h3>
  <strong>
   Quais cuidados e precauções preciso ter ao usar o Dado Erótico?
  </strong>
 </h3>
 <br/>
 <ul>
  <li>
   • Não expor a temperatura superior a 50ºC;
   <br/>
   <li>
    • Não usar solventes ou produtos abrasivos;
    <br/>
    <li>
     • Mantenha fora do alcance de crianças;
    </li>
   </li>
  </li>
 </ul>
 <br/>
 <p>
  <strong>
   Atenção
  </strong>
  : Algumas das embalagens podem sofrer alterações por parte do fornecedor, permanecendo as características do produto, tais como: função, composição, peso e quantidade, sem tempo hábil para serem atualizadas em nosso site.
 </p>
 <br/>
 <p>
  Imagens meramente ilustrativas. Visualizações em mobile e desktop podem sofrer alterações de cor.
 </p>
 <br/>
 <p>
  Confira também:
  <a href=""https://www.miess.com.br/baralho-kama-sutra-soft-hot-flowers-hz400/p"">
   Baralho Kama Sutra Hot Flowers
  </a>
  .
 </p>
</div>
",,Saúde e beleza > Cuidados pessoais,Brincadeiras,Brincadeiras,Variação,N/A,,,56056,7.06,,https://miess.vteximg.com.br/arquivos/ids/253239-1000-1000/RD-01_1.jpg?v=637811569523370000,TRUE,shopify,100,deny,manual,TRUE,TRUE,FALSE,,,active,Brincadeiras
