Handle,Title,Body (HTML),Vendor,Product Category,Product Type,Tags,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Price,Compare At Price,Image Src,Published,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Requires Shipping,Variant Taxable,Gift Card,SEO Title,SEO Description,Status,Collection
s-hande-piggy-massageador-de-clitóris-com-pulsação-miss-collection,S-Hande Piggy Massageador de Clitóris com Pulsação Miss Collection,"<div class=""productDescription"">
 <p>
  O S-Hande Piggy é um maravilhoso massageador clitoriano em formato de porquinho, perfeito para te levar ao seu orgasmo mais intenso, podendo ser usado na área vaginal, mamilos ou até mesmo na orelha. Sua principal função é
  <strong>
   pulsar
  </strong>
  , ele possui 9 modos de vibrações intensas te para te garantir o melhor prazer.
 </p>
 <br/>
 <p>
  Sem falar no seu design, um formato fofo que não entrega o que faz, pois ninguém imaginará o que essa fofura faz, mas não se engane, pois essa belezinha faz mágica.
 </p>
 <br/>
 <h3>
  <strong>
   Ficha Técnica
  </strong>
 </h3>
 <ul>
  <br/>
  <li>
   <strong>
    Contém:
   </strong>
   1 Massageador Piggy
   <br/>
   <li>
    <strong>
     Medidas:
    </strong>
    7,5 cm de comprimento, 7.0 cm de diâmetro (medidas aproximadas)
    <br/>
    <li>
     <strong>
      Tipo de Bateria:
     </strong>
     Recarregável via USB/Tomada
    </li>
   </li>
  </li>
 </ul>
 <br/>
 <h3>
  <strong>
   Qual a Composição?
  </strong>
 </h3>
 <br/>
 <p>
  Silicone
 </p>
 <br/>
 <h3>
  <strong>
   Como usar o Massageador?
  </strong>
 </h3>
 <br/>
 <p>
  Para ligar/desligar aperte e segure o botão ""Power"", para mudar a vibração basta aperta o botão ""Power"".
  <br/>
 </p>
 <h3>
  <strong>
   Como higienizar o Massageador?
  </strong>
 </h3>
 <br/>
 <p>
  Lavar com água e sabão neutro antes e após o uso, seque com papel toalha ou deixe secar naturalmente. Depois de seco guarde seu produto na embalagem original. Não compartilhar e não expor a temperatura superior a 50°C.
 </p>
 <br/>
 <h3>
  <strong>
   Recomendações
  </strong>
 </h3>
 <ul>
  <br/>
  <li>
   Lavagem manual, no máximo 40ºC.
   <br/>
   <li>
    Secar ao abrigo do sol.
    <br/>
    <li>
     Não molhar o compartimento de pilhas
     <br/>
     <li>
      Não compartilhe o acessório.
     </li>
    </li>
   </li>
  </li>
 </ul>
 <br/>
 <p>
  <strong>
   Atenção:
  </strong>
  Algumas das embalagens podem sofrer alterações por parte do fornecedor, permanecendo as características do produto, tais como: função, composição, peso e quantidade, sem tempo hábil para serem atualizadas em nosso site.
 </p>
 <br/>
 <p>
  Imagens meramente ilustrativas. Visualizações em mobile e desktop podem sofrer alterações de cor.
 </p>
</div>
",,Saúde e beleza > Cuidados pessoais,Masturbadores Feminino,Masturbadores Feminino,Aroma,Rosa Claro,,,44533,15.00,,https://miess.vteximg.com.br/arquivos/ids/211824-1000-1000/6433_1.jpg?v=637402787539030000,TRUE,shopify,100,deny,manual,TRUE,TRUE,FALSE,,,active,Masturbadores Feminino
s-hande-piggy-massageador-de-clitóris-com-pulsação-miss-collection,S-Hande Piggy Massageador de Clitóris com Pulsação Miss Collection,"<div class=""productDescription"">
 <p>
  O S-Hande Piggy é um maravilhoso massageador clitoriano em formato de porquinho, perfeito para te levar ao seu orgasmo mais intenso, podendo ser usado na área vaginal, mamilos ou até mesmo na orelha. Sua principal função é
  <strong>
   pulsar
  </strong>
  , ele possui 9 modos de vibrações intensas te para te garantir o melhor prazer.
 </p>
 <br/>
 <p>
  Sem falar no seu design, um formato fofo que não entrega o que faz, pois ninguém imaginará o que essa fofura faz, mas não se engane, pois essa belezinha faz mágica.
 </p>
 <br/>
 <h3>
  <strong>
   Ficha Técnica
  </strong>
 </h3>
 <ul>
  <br/>
  <li>
   <strong>
    Contém:
   </strong>
   1 Massageador Piggy
   <br/>
   <li>
    <strong>
     Medidas:
    </strong>
    7,5 cm de comprimento, 7.0 cm de diâmetro (medidas aproximadas)
    <br/>
    <li>
     <strong>
      Tipo de Bateria:
     </strong>
     Recarregável via USB/Tomada
    </li>
   </li>
  </li>
 </ul>
 <br/>
 <h3>
  <strong>
   Qual a Composição?
  </strong>
 </h3>
 <br/>
 <p>
  Silicone
 </p>
 <br/>
 <h3>
  <strong>
   Como usar o Massageador?
  </strong>
 </h3>
 <br/>
 <p>
  Para ligar/desligar aperte e segure o botão ""Power"", para mudar a vibração basta aperta o botão ""Power"".
  <br/>
 </p>
 <h3>
  <strong>
   Como higienizar o Massageador?
  </strong>
 </h3>
 <br/>
 <p>
  Lavar com água e sabão neutro antes e após o uso, seque com papel toalha ou deixe secar naturalmente. Depois de seco guarde seu produto na embalagem original. Não compartilhar e não expor a temperatura superior a 50°C.
 </p>
 <br/>
 <h3>
  <strong>
   Recomendações
  </strong>
 </h3>
 <ul>
  <br/>
  <li>
   Lavagem manual, no máximo 40ºC.
   <br/>
   <li>
    Secar ao abrigo do sol.
    <br/>
    <li>
     Não molhar o compartimento de pilhas
     <br/>
     <li>
      Não compartilhe o acessório.
     </li>
    </li>
   </li>
  </li>
 </ul>
 <br/>
 <p>
  <strong>
   Atenção:
  </strong>
  Algumas das embalagens podem sofrer alterações por parte do fornecedor, permanecendo as características do produto, tais como: função, composição, peso e quantidade, sem tempo hábil para serem atualizadas em nosso site.
 </p>
 <br/>
 <p>
  Imagens meramente ilustrativas. Visualizações em mobile e desktop podem sofrer alterações de cor.
 </p>
</div>
",,Saúde e beleza > Cuidados pessoais,Masturbadores Feminino,Masturbadores Feminino,Aroma,Amarelo,,,66884,15.00,,https://miess.vteximg.com.br/arquivos/ids/291673-1000-1000/6433-Amarelo_1.jpg?v=638167401852830000,TRUE,shopify,100,deny,manual,TRUE,TRUE,FALSE,,,active,Masturbadores Feminino
s-hande-piggy-massageador-de-clitóris-com-pulsação-miss-collection,S-Hande Piggy Massageador de Clitóris com Pulsação Miss Collection,"<div class=""productDescription"">
 <p>
  O S-Hande Piggy é um maravilhoso massageador clitoriano em formato de porquinho, perfeito para te levar ao seu orgasmo mais intenso, podendo ser usado na área vaginal, mamilos ou até mesmo na orelha. Sua principal função é
  <strong>
   pulsar
  </strong>
  , ele possui 9 modos de vibrações intensas te para te garantir o melhor prazer.
 </p>
 <br/>
 <p>
  Sem falar no seu design, um formato fofo que não entrega o que faz, pois ninguém imaginará o que essa fofura faz, mas não se engane, pois essa belezinha faz mágica.
 </p>
 <br/>
 <h3>
  <strong>
   Ficha Técnica
  </strong>
 </h3>
 <ul>
  <br/>
  <li>
   <strong>
    Contém:
   </strong>
   1 Massageador Piggy
   <br/>
   <li>
    <strong>
     Medidas:
    </strong>
    7,5 cm de comprimento, 7.0 cm de diâmetro (medidas aproximadas)
    <br/>
    <li>
     <strong>
      Tipo de Bateria:
     </strong>
     Recarregável via USB/Tomada
    </li>
   </li>
  </li>
 </ul>
 <br/>
 <h3>
  <strong>
   Qual a Composição?
  </strong>
 </h3>
 <br/>
 <p>
  Silicone
 </p>
 <br/>
 <h3>
  <strong>
   Como usar o Massageador?
  </strong>
 </h3>
 <br/>
 <p>
  Para ligar/desligar aperte e segure o botão ""Power"", para mudar a vibração basta aperta o botão ""Power"".
  <br/>
 </p>
 <h3>
  <strong>
   Como higienizar o Massageador?
  </strong>
 </h3>
 <br/>
 <p>
  Lavar com água e sabão neutro antes e após o uso, seque com papel toalha ou deixe secar naturalmente. Depois de seco guarde seu produto na embalagem original. Não compartilhar e não expor a temperatura superior a 50°C.
 </p>
 <br/>
 <h3>
  <strong>
   Recomendações
  </strong>
 </h3>
 <ul>
  <br/>
  <li>
   Lavagem manual, no máximo 40ºC.
   <br/>
   <li>
    Secar ao abrigo do sol.
    <br/>
    <li>
     Não molhar o compartimento de pilhas
     <br/>
     <li>
      Não compartilhe o acessório.
     </li>
    </li>
   </li>
  </li>
 </ul>
 <br/>
 <p>
  <strong>
   Atenção:
  </strong>
  Algumas das embalagens podem sofrer alterações por parte do fornecedor, permanecendo as características do produto, tais como: função, composição, peso e quantidade, sem tempo hábil para serem atualizadas em nosso site.
 </p>
 <br/>
 <p>
  Imagens meramente ilustrativas. Visualizações em mobile e desktop podem sofrer alterações de cor.
 </p>
</div>
",,Saúde e beleza > Cuidados pessoais,Masturbadores Feminino,Masturbadores Feminino,Aroma,Azul,,,66885,15.00,,https://miess.vteximg.com.br/arquivos/ids/291675-1000-1000/6433-Azul_1.jpg?v=638167401952700000,TRUE,shopify,100,deny,manual,TRUE,TRUE,FALSE,,,active,Masturbadores Feminino
s-hande-piggy-massageador-de-clitóris-com-pulsação-miss-collection,S-Hande Piggy Massageador de Clitóris com Pulsação Miss Collection,"<div class=""productDescription"">
 <p>
  O S-Hande Piggy é um maravilhoso massageador clitoriano em formato de porquinho, perfeito para te levar ao seu orgasmo mais intenso, podendo ser usado na área vaginal, mamilos ou até mesmo na orelha. Sua principal função é
  <strong>
   pulsar
  </strong>
  , ele possui 9 modos de vibrações intensas te para te garantir o melhor prazer.
 </p>
 <br/>
 <p>
  Sem falar no seu design, um formato fofo que não entrega o que faz, pois ninguém imaginará o que essa fofura faz, mas não se engane, pois essa belezinha faz mágica.
 </p>
 <br/>
 <h3>
  <strong>
   Ficha Técnica
  </strong>
 </h3>
 <ul>
  <br/>
  <li>
   <strong>
    Contém:
   </strong>
   1 Massageador Piggy
   <br/>
   <li>
    <strong>
     Medidas:
    </strong>
    7,5 cm de comprimento, 7.0 cm de diâmetro (medidas aproximadas)
    <br/>
    <li>
     <strong>
      Tipo de Bateria:
     </strong>
     Recarregável via USB/Tomada
    </li>
   </li>
  </li>
 </ul>
 <br/>
 <h3>
  <strong>
   Qual a Composição?
  </strong>
 </h3>
 <br/>
 <p>
  Silicone
 </p>
 <br/>
 <h3>
  <strong>
   Como usar o Massageador?
  </strong>
 </h3>
 <br/>
 <p>
  Para ligar/desligar aperte e segure o botão ""Power"", para mudar a vibração basta aperta o botão ""Power"".
  <br/>
 </p>
 <h3>
  <strong>
   Como higienizar o Massageador?
  </strong>
 </h3>
 <br/>
 <p>
  Lavar com água e sabão neutro antes e após o uso, seque com papel toalha ou deixe secar naturalmente. Depois de seco guarde seu produto na embalagem original. Não compartilhar e não expor a temperatura superior a 50°C.
 </p>
 <br/>
 <h3>
  <strong>
   Recomendações
  </strong>
 </h3>
 <ul>
  <br/>
  <li>
   Lavagem manual, no máximo 40ºC.
   <br/>
   <li>
    Secar ao abrigo do sol.
    <br/>
    <li>
     Não molhar o compartimento de pilhas
     <br/>
     <li>
      Não compartilhe o acessório.
     </li>
    </li>
   </li>
  </li>
 </ul>
 <br/>
 <p>
  <strong>
   Atenção:
  </strong>
  Algumas das embalagens podem sofrer alterações por parte do fornecedor, permanecendo as características do produto, tais como: função, composição, peso e quantidade, sem tempo hábil para serem atualizadas em nosso site.
 </p>
 <br/>
 <p>
  Imagens meramente ilustrativas. Visualizações em mobile e desktop podem sofrer alterações de cor.
 </p>
</div>
",,Saúde e beleza > Cuidados pessoais,Masturbadores Feminino,Masturbadores Feminino,Aroma,Lilas,,,67186,15.00,,https://miess.vteximg.com.br/arquivos/ids/292439-1000-1000/6433-Lilas_1.jpg?v=638174166504200000,TRUE,shopify,100,deny,manual,TRUE,TRUE,FALSE,,,active,Masturbadores Feminino
estimulador-formato-língua-com-3-modos-de-vibração-e-rotação-pretty-love-tongue-miss-collection,Estimulador Formato Língua com 3 Modos de Vibração e Rotação Pretty Love Tongue Miss Collection,"<div class=""productDescription"">
 Eleve o seu
 <strong>
  prazer
 </strong>
 realizando uma massagem sensual com esse
 <strong>
  Estimulador
 </strong>
 inovador, além da vibração
 <strong>
  super excitante
 </strong>
 , ele realiza 3 diferentes modos de rotação, com a função de estimular o seu canal vaginal para a chegada do
 <strong>
  orgasmo
 </strong>
 . Ele também pode ser usado para a estimulação dos seios, basta selecionar a velocidade desejada e aproveitar o seu momento.
 <br/>
 <br/>
 <strong>
  Produto:
  <strong>
   19x5x3 cm.
   <br/>
   <strong>
    Diâmetro:
   </strong>
   5 cm.
   <br/>
   <strong>
    Penetráveis:
   </strong>
   9 cm.
   <br/>
   <strong>
    Peso:
   </strong>
   118 g.
   <br/>
   <strong>
    Utiliza:
   </strong>
   Cabo USB (Incluso).
   <br/>
   <strong>
    Material:
   </strong>
   TPR e ABS.
   <br/>
   <br/>
   <strong>
    Recomendações:
   </strong>
   <br/>
   Antes e após o uso, realizar a higienização da Massageador com toalhas umedecidas. Secar com papel toalha descartável ou deixar secar naturalmente.
   <br/>
   <br/>
   Manter fora do alcance de crianças.
   <br/>
  </strong>
 </strong>
</div>
",,Saúde e beleza > Cuidados pessoais,Masturbadores Feminino,Masturbadores Feminino,Aroma,N/A,,,38552,166.73,,https://miess.vteximg.com.br/arquivos/ids/185189-1000-1000/VB034_1.jpg?v=637193729477230000,TRUE,shopify,100,deny,manual,TRUE,TRUE,FALSE,,,active,Masturbadores Feminino
s-hande-finger-dedeira-estimuladora-com-cápsula-vibratória-miss-collection,S-Hande Finger Dedeira Estimuladora com Cápsula Vibratória Miss Collection,"<div class=""productDescription"">
 <p>
  O
  <strong>
   S-Hande Finger
  </strong>
  é uma dedeira formato “língua” para a estimulação do clitóris e ponto g, possui relevos e texturas ao longo da “língua” para intensificar o prazer, para facilitar o manuseio, a Finger possui uma alça auxiliadora para dedo. Acompanha uma cápsula vibratória com uma vibração que pode ser usada separadamente para estimular outras áreas.
 </p>
 <br/>
 <h3>
  <strong>
   Ficha Técnica
  </strong>
 </h3>
 <br/>
 <ul>
  <li>
   <strong>
    Contém:
   </strong>
   1 Dedeira e 1 Cápsula Vibratória.
   <br/>
   <li>
    <strong>
     Utiliza:
    </strong>
    2 Baterias LR41 (não inclusa)
    <br/>
    <li>
     <strong>
      Medidas:
     </strong>
     6,8x3,8x3,7 cm (Medidas Aproximadas)
    </li>
   </li>
  </li>
 </ul>
 <br/>
 <h3>
  <strong>
   Para que serve a Dedeira?
  </strong>
 </h3>
 <br/>
 <p>
  A Dedeira serve para estimular as regiões mais sensíveis, tais como, glande, clitóris e mamilos.
 </p>
 <br/>
 <h3>
  <strong>
   Qual a Composição a Finger S-hande?
  </strong>
 </h3>
 <br/>
 <p>
  O acessório é feito em silicone e componentes eletrônicos.
 </p>
 <br/>
 <h3>
  <strong>
   Recomendações
  </strong>
 </h3>
 <br/>
 <ul>
  <li>
   Recomenda-se o uso de lubrificante à base d’água.
   <br/>
   <li>
    Higienize com água e sabão neutro antes e após o uso.
    <br/>
    <li>
     Não deixe cair água no compartimento de recarga.
     <br/>
     <li>
      Seque com papel toalha ou deixe secar naturalmente.
      <br/>
      <li>
       Não compartilhe o acessório.
       <br/>
       <li>
        Em caso de irritação ou alergia suspenda o uso e procure um médico.
        <br/>
        <li>
         Não utilize em locais com lacerações, feridas ou machucados.
         <br/>
         <li>
          Mantenha fora do alcance de crianças.
         </li>
        </li>
       </li>
      </li>
     </li>
    </li>
   </li>
  </li>
 </ul>
 <br/>
 <p>
  <strong>
   Atenção:
  </strong>
  Algumas das embalagens podem sofrer alterações por parte do fornecedor, permanecendo as características do produto, tais como: função, composição, peso e quantidade, sem tempo hábil para serem atualizadas em nosso site.
 </p>
 <br/>
 <p>
  Imagens meramente ilustrativas. Visualizações em mobile e desktop podem sofrer alterações de cor.
 </p>
</div>
",,Saúde e beleza > Cuidados pessoais,Masturbadores Feminino,Masturbadores Feminino,Aroma,Pink,,,44453,61.28,,https://miess.vteximg.com.br/arquivos/ids/211602-1000-1000/6431-Pink_1.jpg?v=637396914627800000,TRUE,shopify,100,deny,manual,TRUE,TRUE,FALSE,,,active,Masturbadores Feminino
s-hande-finger-dedeira-estimuladora-com-cápsula-vibratória-miss-collection,S-Hande Finger Dedeira Estimuladora com Cápsula Vibratória Miss Collection,"<div class=""productDescription"">
 <p>
  O
  <strong>
   S-Hande Finger
  </strong>
  é uma dedeira formato “língua” para a estimulação do clitóris e ponto g, possui relevos e texturas ao longo da “língua” para intensificar o prazer, para facilitar o manuseio, a Finger possui uma alça auxiliadora para dedo. Acompanha uma cápsula vibratória com uma vibração que pode ser usada separadamente para estimular outras áreas.
 </p>
 <br/>
 <h3>
  <strong>
   Ficha Técnica
  </strong>
 </h3>
 <br/>
 <ul>
  <li>
   <strong>
    Contém:
   </strong>
   1 Dedeira e 1 Cápsula Vibratória.
   <br/>
   <li>
    <strong>
     Utiliza:
    </strong>
    2 Baterias LR41 (não inclusa)
    <br/>
    <li>
     <strong>
      Medidas:
     </strong>
     6,8x3,8x3,7 cm (Medidas Aproximadas)
    </li>
   </li>
  </li>
 </ul>
 <br/>
 <h3>
  <strong>
   Para que serve a Dedeira?
  </strong>
 </h3>
 <br/>
 <p>
  A Dedeira serve para estimular as regiões mais sensíveis, tais como, glande, clitóris e mamilos.
 </p>
 <br/>
 <h3>
  <strong>
   Qual a Composição a Finger S-hande?
  </strong>
 </h3>
 <br/>
 <p>
  O acessório é feito em silicone e componentes eletrônicos.
 </p>
 <br/>
 <h3>
  <strong>
   Recomendações
  </strong>
 </h3>
 <br/>
 <ul>
  <li>
   Recomenda-se o uso de lubrificante à base d’água.
   <br/>
   <li>
    Higienize com água e sabão neutro antes e após o uso.
    <br/>
    <li>
     Não deixe cair água no compartimento de recarga.
     <br/>
     <li>
      Seque com papel toalha ou deixe secar naturalmente.
      <br/>
      <li>
       Não compartilhe o acessório.
       <br/>
       <li>
        Em caso de irritação ou alergia suspenda o uso e procure um médico.
        <br/>
        <li>
         Não utilize em locais com lacerações, feridas ou machucados.
         <br/>
         <li>
          Mantenha fora do alcance de crianças.
         </li>
        </li>
       </li>
      </li>
     </li>
    </li>
   </li>
  </li>
 </ul>
 <br/>
 <p>
  <strong>
   Atenção:
  </strong>
  Algumas das embalagens podem sofrer alterações por parte do fornecedor, permanecendo as características do produto, tais como: função, composição, peso e quantidade, sem tempo hábil para serem atualizadas em nosso site.
 </p>
 <br/>
 <p>
  Imagens meramente ilustrativas. Visualizações em mobile e desktop podem sofrer alterações de cor.
 </p>
</div>
",,Saúde e beleza > Cuidados pessoais,Masturbadores Feminino,Masturbadores Feminino,Aroma,Roxo,,,45310,61.28,,https://miess.vteximg.com.br/arquivos/ids/268839-1000-1000/6431-Roxo_1.jpg?v=637934214107700000,TRUE,shopify,100,deny,manual,TRUE,TRUE,FALSE,,,active,Masturbadores Feminino
pretty-love-estelle-estimulador-simulador-oral-em-silicone-miss-collection,Pretty Love Estelle Estimulador Simulador Oral em Silicone Miss Collection,"<div class=""productDescription"">
 <p>
  O Pretty Love Estelle é um Estimulador que simula o Sexo Oral, possui cerdas que massageiam e estimulam a área, língua e 12 vibrações potentes. Com ele você terá orgasmos e sensações deliciosas de prazer. Você também pode utilizá-lo para estimular os seios, clitóris e vulva, sentindo sempre sensações diferentes e intensas.
  <br/>
 </p>
 <br/>
 <p>
  <strong>
   Ficha Técnica
  </strong>
  <br/>
 </p>
 <br/>
 <ul>
  <li>
   <strong>
    Contém:
   </strong>
   1 Estimulador.
   <br/>
   <li>
    <strong>
     Bateria:
    </strong>
    Recarregável via USB/Tomada.
    <br/>
    <li>
     <strong>
      Comprimento:
     </strong>
     4,2 cm (medida aproximada)
     <br/>
     <li>
      <strong>
       Espessura:
      </strong>
      4,52 cm (medida aproximada)
      <br/>
     </li>
     <br/>
    </li>
   </li>
  </li>
 </ul>
 <br/>
 <h3>
  <strong>
   Como usar o Simulador Oral?
  </strong>
 </h3>
 <br/>
 <p>
  Para ligar ou desligar aperte o botão “Power” na base do vibrador e para mudar aperte o mesmo botão. Posicione o simulador oral na vulva, seios ou clitóris e sinta sensações intensas.
  <br/>
 </p>
 <br/>
 <h3>
  <strong>
   Para que serve o Simulador Oral?
  </strong>
 </h3>
 <br/>
 <p>
  A vibrador de calcinha serve para estimular a vulva. Sua vibração estimula os pequenos e grandes lábios, clitóris e proporciona orgasmos incríveis.
  <br/>
 </p>
 <br/>
 <h3>
  <strong>
   Qual a Composição do Estimulador?
  </strong>
 </h3>
 <br/>
 <p>
  O acessório é feito em soft silicone à prova d’água e componentes eletrônicos.
  <br/>
 </p>
 <br/>
 <h3>
  <strong>
   Recomendações
  </strong>
 </h3>
 <br/>
 <ul>
  <br/>
  <li>
   Recomenda-se o uso de lubrificante à base d’água.
   <br/>
   <li>
    Higienize com água e sabão neutro antes e após o uso.
    <br/>
    <li>
     Não deixe cair água no compartimento de recarga.
     <br/>
     <li>
      Seque com papel toalha ou deixe secar naturalmente.
      <br/>
      <li>
       Depois de seco guarde na embalagem original e não exponha a temperatura superior a 50ºC.
       <br/>
       <li>
        Não compartilhe o acessório.
        <br/>
        <li>
         Em caso de irritação ou alergia suspenda o uso e procure um médico.
         <br/>
         <li>
          Não utilize em locais com lacerações, feridas ou machucados.
          <br/>
          <li>
           Mantenha fora do alcance de crianças.
           <br/>
          </li>
         </li>
        </li>
       </li>
      </li>
     </li>
    </li>
   </li>
  </li>
 </ul>
 <p>
  <strong>
   Atenção:
  </strong>
  Algumas das embalagens podem sofrer alterações por parte do fornecedor, permanecendo as características do produto, tais como: função, composição, peso e quantidade, sem tempo hábil para serem atualizadas em nosso site.
  <br/>
 </p>
 <p>
  Imagens meramente ilustrativas. Visualizações em mobile e desktop podem sofrer alterações de cor.
 </p>
 <br/>
 <br/>
 <br/>
</div>
",,Saúde e beleza > Cuidados pessoais,Masturbadores Feminino,Masturbadores Feminino,Aroma,Roxo,,,44102,204.75,,https://miess.vteximg.com.br/arquivos/ids/209973-1000-1000/VB088-Roxo_1.jpg?v=637375048077000000,TRUE,shopify,100,deny,manual,TRUE,TRUE,FALSE,,,active,Masturbadores Feminino
pretty-love-daisy-2-em-1-vibrador-bullet-e-simulador-oral-miss-collection,Pretty Love Daisy 2 em 1 Vibrador Bullet e Simulador Oral Miss Collection,"<div class=""productDescription"">
 Tenha
 <strong>
  Duplo Estímulo
 </strong>
 com este
 <strong>
  Bullet e Simulador Oral
 </strong>
 ! Com o vibrador de simulador oral você irá curtir momentos de prazer ainda mais poderosos, ele possui 3 tipos de funções de “lambidas” para que você tenha a sensação perfeita. Ainda possui 12 vibrações na cápsula para que você atinja orgasmos inesquecíveis.
 <br/>
 <br/>
 <br/>
 <strong>
  Ficha Técnica:
 </strong>
 <br/>
 <strong>
  Contém:
 </strong>
 2 cápsulas de vibro e 1 Cabo USB.
 <br/>
 <strong>
  Composição:
 </strong>
 Silicone.
 <br/>
 <strong>
  Bateria:
 </strong>
 Recarregável via USB.
 <br/>
 <strong>
  Medidas:
 </strong>
 <br/>
 <strong>
  Comprimento do simulador:
 </strong>
 6,5 (Medida aproximada)
 <br/>
 <strong>
  Diâmetro do simulador:
 </strong>
 3,5 cm (Medida aproximada)
 <br/>
 <strong>
  Comprimento do bullet:
 </strong>
 7,3 (Medida aproximada)
 <br/>
 <strong>
  Diâmetro do bullet:
 </strong>
 3,3 cm (Medida aproximada)
 <br/>
 <br/>
 <strong>
  Modo de uso:
 </strong>
 <br/>
 Passe um lubrificante a base d'água e comece a estimulação. Sinta sensações intensas de prazer.
 <br/>
 <br/>
 <strong>
  Recomendações:
 </strong>
 <br/>
 É recomendado o uso de lubrificante.
 <br/>
 Para evitar lesões ou agravamento de patologias existentes, não utilize este produto em zona inflamada, inchada ou pele com lacerações.
 <br/>
 Lave com água e sabão neutro antes e após o uso. Seque com papel toalha ou deixe secar naturalmente. Após sua secagem guarde na embalagem original e não compartilhe ou exponha a temperatura superior a 50ºC.
 <br/>
 Manter ao abrigo do calor e luz excessiva.
 <br/>
 Mantenha fora do alcance de crianças.
 <br/>
</div>
",,Saúde e beleza > Cuidados pessoais,Masturbadores Feminino,Masturbadores Feminino,Aroma,N/A,,,43913,336.38,,https://miess.vteximg.com.br/arquivos/ids/209578-1000-1000/CB030_1.jpg?v=637366385639600000,TRUE,shopify,100,deny,manual,TRUE,TRUE,FALSE,,,active,Masturbadores Feminino
dibe-sex-massager-g-spot-massageador-com-sucção-em-silicone-vip-mix,Dibe Sex Massager G-Spot Massageador com Sucção em Silicone Vip Mix,"<div class=""productDescription"">
 O
 <strong>
  Massageador
 </strong>
 é feito em silicone macio e confortável e possui 7 modos de vibração intensas que auxiliam na estimulação do casal, proporcionando ainda mais prazer. É um acessório muito usado também para estimular e massagear o clitóris e aliviar a tensão. É resistente a água, o que possibilita que você use sua criatividade e imaginação de diversas formas.
 <br/>
 <br/>
 <strong>
  Ficha Técnica:
 </strong>
 <br/>
 <strong>
  Contém:
 </strong>
 1 Massageador, 1 Controle Remoto e 1 Cabo USB.
 <br/>
 <strong>
  Composição:
 </strong>
 Silicone e ABS.
 <br/>
 <strong>
  Bateria:
 </strong>
 Recarregável via USB.
 <br/>
 <strong>
  Medidas:
 </strong>
 <br/>
 <strong>
  Comprimento do vibrador:
 </strong>
 11 cm (Medida aproximada)
 <br/>
 <strong>
  Diâmetro do vibrador:
 </strong>
 4,1 cm (Medida aproximada)
 <br/>
 <strong>
  Cor:
 </strong>
 Variadas, sem opção de escolha.
 <br/>
 <br/>
 <strong>
  Modo de uso:
 </strong>
 <br/>
 Lubrifique antes da penetração.
 <br/>
 <br/>
 <strong>
  Recomendações:
 </strong>
 <br/>
 Para evitar lesões ou agravamento de patologias existentes, não utilize este produto em zona inflamada, inchada ou pele com lacerações.
 <br/>
 Lave com água e sabão neutro antes e após o uso. Seque com papel toalha ou deixe secar naturalmente. Após sua secagem guarde na embalagem original e não compartilhe ou exponha a temperatura superior a 50ºC.
 <br/>
 Manter ao abrigo do calor e luz excessiva.
 <br/>
 Mantenha fora do alcance de crianças.
 <br/>
</div>
",,Saúde e beleza > Cuidados pessoais,Masturbadores Feminino,Masturbadores Feminino,Aroma,Magenta,,,43704,321.75,,https://miess.vteximg.com.br/arquivos/ids/209107-1000-1000/DB074-Magenta_1.jpg?v=637357965416670000,TRUE,shopify,100,deny,manual,TRUE,TRUE,FALSE,,,active,Masturbadores Feminino
