Handle,Title,Body (HTML),Vendor,Product Category,Product Type,Tags,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Price,Compare At Price,Image Src,Published,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Requires Shipping,Variant Taxable,Gift Card,SEO Title,SEO Description,Status,Collection
preservativos-lubrificados-aromáticos-com-3-unidades-sex-free,Preservativos Lubrificados Aromáticos com 3 unidades Sex Free,"<div class=""productDescription"">
 <p>
  Os Preservativos Aromáticos são perfeitos para deixar o seu momento ainda mais agradável e gostoso, além da proteção e segurança que as camisinhas da
  <strong>
   Sex Free
  </strong>
  trazem.
 </p>
 <br/>
 <p>
  Essas camisinhas possuem deliciosos aromas de
  <strong>
   Menta
  </strong>
  ,
  <strong>
   Tutti frutti
  </strong>
  ,
  <strong>
   Morango
  </strong>
  ,
  <strong>
   Uva
  </strong>
  ,
  <strong>
   Açaí
  </strong>
  e
  <strong>
   Chocolate
  </strong>
  , um melhor que o outro para você escolher o seu favorito. Também não podemos esquecer que além de todas essas delícias, ele também irá te proteger de doenças sexualmente transmissíveis.
 </p>
 <br/>
 <p>
  E suas principais características são que ele é um liso opaco, possui reservatório e tem lados paralelos, tudo isso para que se sinta confortável ao usá-lo.
 </p>
 <br/>
 <h3>
  <strong>
   Ficha Técnica
  </strong>
 </h3>
 <br/>
 <p>
  <strong>
   Contém:
  </strong>
  Um pacote com 3 Unidades.
 </p>
 <br/>
 <p>
  <strong>
   Aroma:
  </strong>
  Menta, Tutti frutti, Morango, Uva, Açai e Chocolate
 </p>
 <br/>
 <p>
  <strong>
   Largura:
  </strong>
  52mm (Padrão)
 </p>
 <br/>
 <h3>
  <strong>
   Qual a composição do Preservativo da Sex Free?
  </strong>
 </h3>
 <br/>
 <p>
  Látex de borracha natural, óleo de silicone (lubrificante) e aroma artificial
 </p>
 <br/>
 <h3>
  <strong>
   Como usar o Preservativo?
  </strong>
 </h3>
 <br/>
 <p>
  Abra a embalagem com cuidado e nunca abra com os dentes.Coloque a camisinha somente quando o pênis estiver ereto. Desenrole a camisinha até a base do pênis e antes aperte a ponta para retirar o ar, depois é só aproveitar a sua noite com toda a segurança.
 </p>
 <br/>
 <p>
  <strong>
   Atenção:
  </strong>
  Algumas das embalagens podem sofrer alterações por parte do fornecedor, permanecendo as características do produto, tais como: função, composição, peso e quantidade, sem tempo hábil para serem atualizadas em nosso site.
 </p>
 <br/>
 <p>
  Imagens meramente ilustrativas. Visualizações em mobile e desktop podem sofrer alterações de cor.
 </p>
 <br/>
</div>
",,Saúde e beleza > Cuidados pessoais,Preservativos,Preservativos,Variação,N/A,,,46117,3.81,,https://miess.vteximg.com.br/arquivos/ids/218751-1000-1000/01112-Chocolate_1.jpg?v=637528813685970000,TRUE,shopify,100,deny,manual,TRUE,TRUE,FALSE,,,active,Preservativos
preservativos-lubrificados-aromáticos-com-3-unidades-sex-free,Preservativos Lubrificados Aromáticos com 3 unidades Sex Free,"<div class=""productDescription"">
 <p>
  Os Preservativos Aromáticos são perfeitos para deixar o seu momento ainda mais agradável e gostoso, além da proteção e segurança que as camisinhas da
  <strong>
   Sex Free
  </strong>
  trazem.
 </p>
 <br/>
 <p>
  Essas camisinhas possuem deliciosos aromas de
  <strong>
   Menta
  </strong>
  ,
  <strong>
   Tutti frutti
  </strong>
  ,
  <strong>
   Morango
  </strong>
  ,
  <strong>
   Uva
  </strong>
  ,
  <strong>
   Açaí
  </strong>
  e
  <strong>
   Chocolate
  </strong>
  , um melhor que o outro para você escolher o seu favorito. Também não podemos esquecer que além de todas essas delícias, ele também irá te proteger de doenças sexualmente transmissíveis.
 </p>
 <br/>
 <p>
  E suas principais características são que ele é um liso opaco, possui reservatório e tem lados paralelos, tudo isso para que se sinta confortável ao usá-lo.
 </p>
 <br/>
 <h3>
  <strong>
   Ficha Técnica
  </strong>
 </h3>
 <br/>
 <p>
  <strong>
   Contém:
  </strong>
  Um pacote com 3 Unidades.
 </p>
 <br/>
 <p>
  <strong>
   Aroma:
  </strong>
  Menta, Tutti frutti, Morango, Uva, Açai e Chocolate
 </p>
 <br/>
 <p>
  <strong>
   Largura:
  </strong>
  52mm (Padrão)
 </p>
 <br/>
 <h3>
  <strong>
   Qual a composição do Preservativo da Sex Free?
  </strong>
 </h3>
 <br/>
 <p>
  Látex de borracha natural, óleo de silicone (lubrificante) e aroma artificial
 </p>
 <br/>
 <h3>
  <strong>
   Como usar o Preservativo?
  </strong>
 </h3>
 <br/>
 <p>
  Abra a embalagem com cuidado e nunca abra com os dentes.Coloque a camisinha somente quando o pênis estiver ereto. Desenrole a camisinha até a base do pênis e antes aperte a ponta para retirar o ar, depois é só aproveitar a sua noite com toda a segurança.
 </p>
 <br/>
 <p>
  <strong>
   Atenção:
  </strong>
  Algumas das embalagens podem sofrer alterações por parte do fornecedor, permanecendo as características do produto, tais como: função, composição, peso e quantidade, sem tempo hábil para serem atualizadas em nosso site.
 </p>
 <br/>
 <p>
  Imagens meramente ilustrativas. Visualizações em mobile e desktop podem sofrer alterações de cor.
 </p>
 <br/>
</div>
",,Saúde e beleza > Cuidados pessoais,Preservativos,Preservativos,Variação,N/A,,,46118,3.81,,https://miess.vteximg.com.br/arquivos/ids/218752-1000-1000/01111-Acai_1.jpg?v=637528813770530000,TRUE,shopify,100,deny,manual,TRUE,TRUE,FALSE,,,active,Preservativos
preservativos-lubrificados-aromáticos-com-3-unidades-sex-free,Preservativos Lubrificados Aromáticos com 3 unidades Sex Free,"<div class=""productDescription"">
 <p>
  Os Preservativos Aromáticos são perfeitos para deixar o seu momento ainda mais agradável e gostoso, além da proteção e segurança que as camisinhas da
  <strong>
   Sex Free
  </strong>
  trazem.
 </p>
 <br/>
 <p>
  Essas camisinhas possuem deliciosos aromas de
  <strong>
   Menta
  </strong>
  ,
  <strong>
   Tutti frutti
  </strong>
  ,
  <strong>
   Morango
  </strong>
  ,
  <strong>
   Uva
  </strong>
  ,
  <strong>
   Açaí
  </strong>
  e
  <strong>
   Chocolate
  </strong>
  , um melhor que o outro para você escolher o seu favorito. Também não podemos esquecer que além de todas essas delícias, ele também irá te proteger de doenças sexualmente transmissíveis.
 </p>
 <br/>
 <p>
  E suas principais características são que ele é um liso opaco, possui reservatório e tem lados paralelos, tudo isso para que se sinta confortável ao usá-lo.
 </p>
 <br/>
 <h3>
  <strong>
   Ficha Técnica
  </strong>
 </h3>
 <br/>
 <p>
  <strong>
   Contém:
  </strong>
  Um pacote com 3 Unidades.
 </p>
 <br/>
 <p>
  <strong>
   Aroma:
  </strong>
  Menta, Tutti frutti, Morango, Uva, Açai e Chocolate
 </p>
 <br/>
 <p>
  <strong>
   Largura:
  </strong>
  52mm (Padrão)
 </p>
 <br/>
 <h3>
  <strong>
   Qual a composição do Preservativo da Sex Free?
  </strong>
 </h3>
 <br/>
 <p>
  Látex de borracha natural, óleo de silicone (lubrificante) e aroma artificial
 </p>
 <br/>
 <h3>
  <strong>
   Como usar o Preservativo?
  </strong>
 </h3>
 <br/>
 <p>
  Abra a embalagem com cuidado e nunca abra com os dentes.Coloque a camisinha somente quando o pênis estiver ereto. Desenrole a camisinha até a base do pênis e antes aperte a ponta para retirar o ar, depois é só aproveitar a sua noite com toda a segurança.
 </p>
 <br/>
 <p>
  <strong>
   Atenção:
  </strong>
  Algumas das embalagens podem sofrer alterações por parte do fornecedor, permanecendo as características do produto, tais como: função, composição, peso e quantidade, sem tempo hábil para serem atualizadas em nosso site.
 </p>
 <br/>
 <p>
  Imagens meramente ilustrativas. Visualizações em mobile e desktop podem sofrer alterações de cor.
 </p>
 <br/>
</div>
",,Saúde e beleza > Cuidados pessoais,Preservativos,Preservativos,Variação,N/A,,,46119,3.81,,https://miess.vteximg.com.br/arquivos/ids/218753-1000-1000/01108-Menta_1.jpg?v=637528813861400000,TRUE,shopify,100,deny,manual,TRUE,TRUE,FALSE,,,active,Preservativos
preservativos-lubrificados-aromáticos-com-3-unidades-sex-free,Preservativos Lubrificados Aromáticos com 3 unidades Sex Free,"<div class=""productDescription"">
 <p>
  Os Preservativos Aromáticos são perfeitos para deixar o seu momento ainda mais agradável e gostoso, além da proteção e segurança que as camisinhas da
  <strong>
   Sex Free
  </strong>
  trazem.
 </p>
 <br/>
 <p>
  Essas camisinhas possuem deliciosos aromas de
  <strong>
   Menta
  </strong>
  ,
  <strong>
   Tutti frutti
  </strong>
  ,
  <strong>
   Morango
  </strong>
  ,
  <strong>
   Uva
  </strong>
  ,
  <strong>
   Açaí
  </strong>
  e
  <strong>
   Chocolate
  </strong>
  , um melhor que o outro para você escolher o seu favorito. Também não podemos esquecer que além de todas essas delícias, ele também irá te proteger de doenças sexualmente transmissíveis.
 </p>
 <br/>
 <p>
  E suas principais características são que ele é um liso opaco, possui reservatório e tem lados paralelos, tudo isso para que se sinta confortável ao usá-lo.
 </p>
 <br/>
 <h3>
  <strong>
   Ficha Técnica
  </strong>
 </h3>
 <br/>
 <p>
  <strong>
   Contém:
  </strong>
  Um pacote com 3 Unidades.
 </p>
 <br/>
 <p>
  <strong>
   Aroma:
  </strong>
  Menta, Tutti frutti, Morango, Uva, Açai e Chocolate
 </p>
 <br/>
 <p>
  <strong>
   Largura:
  </strong>
  52mm (Padrão)
 </p>
 <br/>
 <h3>
  <strong>
   Qual a composição do Preservativo da Sex Free?
  </strong>
 </h3>
 <br/>
 <p>
  Látex de borracha natural, óleo de silicone (lubrificante) e aroma artificial
 </p>
 <br/>
 <h3>
  <strong>
   Como usar o Preservativo?
  </strong>
 </h3>
 <br/>
 <p>
  Abra a embalagem com cuidado e nunca abra com os dentes.Coloque a camisinha somente quando o pênis estiver ereto. Desenrole a camisinha até a base do pênis e antes aperte a ponta para retirar o ar, depois é só aproveitar a sua noite com toda a segurança.
 </p>
 <br/>
 <p>
  <strong>
   Atenção:
  </strong>
  Algumas das embalagens podem sofrer alterações por parte do fornecedor, permanecendo as características do produto, tais como: função, composição, peso e quantidade, sem tempo hábil para serem atualizadas em nosso site.
 </p>
 <br/>
 <p>
  Imagens meramente ilustrativas. Visualizações em mobile e desktop podem sofrer alterações de cor.
 </p>
 <br/>
</div>
",,Saúde e beleza > Cuidados pessoais,Preservativos,Preservativos,Variação,N/A,,,46120,3.81,,https://miess.vteximg.com.br/arquivos/ids/218754-1000-1000/01106-Morango_1.jpg?v=637528813934930000,TRUE,shopify,100,deny,manual,TRUE,TRUE,FALSE,,,active,Preservativos
preservativos-lubrificados-aromáticos-com-3-unidades-sex-free,Preservativos Lubrificados Aromáticos com 3 unidades Sex Free,"<div class=""productDescription"">
 <p>
  Os Preservativos Aromáticos são perfeitos para deixar o seu momento ainda mais agradável e gostoso, além da proteção e segurança que as camisinhas da
  <strong>
   Sex Free
  </strong>
  trazem.
 </p>
 <br/>
 <p>
  Essas camisinhas possuem deliciosos aromas de
  <strong>
   Menta
  </strong>
  ,
  <strong>
   Tutti frutti
  </strong>
  ,
  <strong>
   Morango
  </strong>
  ,
  <strong>
   Uva
  </strong>
  ,
  <strong>
   Açaí
  </strong>
  e
  <strong>
   Chocolate
  </strong>
  , um melhor que o outro para você escolher o seu favorito. Também não podemos esquecer que além de todas essas delícias, ele também irá te proteger de doenças sexualmente transmissíveis.
 </p>
 <br/>
 <p>
  E suas principais características são que ele é um liso opaco, possui reservatório e tem lados paralelos, tudo isso para que se sinta confortável ao usá-lo.
 </p>
 <br/>
 <h3>
  <strong>
   Ficha Técnica
  </strong>
 </h3>
 <br/>
 <p>
  <strong>
   Contém:
  </strong>
  Um pacote com 3 Unidades.
 </p>
 <br/>
 <p>
  <strong>
   Aroma:
  </strong>
  Menta, Tutti frutti, Morango, Uva, Açai e Chocolate
 </p>
 <br/>
 <p>
  <strong>
   Largura:
  </strong>
  52mm (Padrão)
 </p>
 <br/>
 <h3>
  <strong>
   Qual a composição do Preservativo da Sex Free?
  </strong>
 </h3>
 <br/>
 <p>
  Látex de borracha natural, óleo de silicone (lubrificante) e aroma artificial
 </p>
 <br/>
 <h3>
  <strong>
   Como usar o Preservativo?
  </strong>
 </h3>
 <br/>
 <p>
  Abra a embalagem com cuidado e nunca abra com os dentes.Coloque a camisinha somente quando o pênis estiver ereto. Desenrole a camisinha até a base do pênis e antes aperte a ponta para retirar o ar, depois é só aproveitar a sua noite com toda a segurança.
 </p>
 <br/>
 <p>
  <strong>
   Atenção:
  </strong>
  Algumas das embalagens podem sofrer alterações por parte do fornecedor, permanecendo as características do produto, tais como: função, composição, peso e quantidade, sem tempo hábil para serem atualizadas em nosso site.
 </p>
 <br/>
 <p>
  Imagens meramente ilustrativas. Visualizações em mobile e desktop podem sofrer alterações de cor.
 </p>
 <br/>
</div>
",,Saúde e beleza > Cuidados pessoais,Preservativos,Preservativos,Variação,N/A,,,46121,3.81,,https://miess.vteximg.com.br/arquivos/ids/218755-1000-1000/01107-Tutti-Frutti_1.jpg?v=637528814007070000,TRUE,shopify,100,deny,manual,TRUE,TRUE,FALSE,,,active,Preservativos
preservativos-lubrificados-aromáticos-com-3-unidades-sex-free,Preservativos Lubrificados Aromáticos com 3 unidades Sex Free,"<div class=""productDescription"">
 <p>
  Os Preservativos Aromáticos são perfeitos para deixar o seu momento ainda mais agradável e gostoso, além da proteção e segurança que as camisinhas da
  <strong>
   Sex Free
  </strong>
  trazem.
 </p>
 <br/>
 <p>
  Essas camisinhas possuem deliciosos aromas de
  <strong>
   Menta
  </strong>
  ,
  <strong>
   Tutti frutti
  </strong>
  ,
  <strong>
   Morango
  </strong>
  ,
  <strong>
   Uva
  </strong>
  ,
  <strong>
   Açaí
  </strong>
  e
  <strong>
   Chocolate
  </strong>
  , um melhor que o outro para você escolher o seu favorito. Também não podemos esquecer que além de todas essas delícias, ele também irá te proteger de doenças sexualmente transmissíveis.
 </p>
 <br/>
 <p>
  E suas principais características são que ele é um liso opaco, possui reservatório e tem lados paralelos, tudo isso para que se sinta confortável ao usá-lo.
 </p>
 <br/>
 <h3>
  <strong>
   Ficha Técnica
  </strong>
 </h3>
 <br/>
 <p>
  <strong>
   Contém:
  </strong>
  Um pacote com 3 Unidades.
 </p>
 <br/>
 <p>
  <strong>
   Aroma:
  </strong>
  Menta, Tutti frutti, Morango, Uva, Açai e Chocolate
 </p>
 <br/>
 <p>
  <strong>
   Largura:
  </strong>
  52mm (Padrão)
 </p>
 <br/>
 <h3>
  <strong>
   Qual a composição do Preservativo da Sex Free?
  </strong>
 </h3>
 <br/>
 <p>
  Látex de borracha natural, óleo de silicone (lubrificante) e aroma artificial
 </p>
 <br/>
 <h3>
  <strong>
   Como usar o Preservativo?
  </strong>
 </h3>
 <br/>
 <p>
  Abra a embalagem com cuidado e nunca abra com os dentes.Coloque a camisinha somente quando o pênis estiver ereto. Desenrole a camisinha até a base do pênis e antes aperte a ponta para retirar o ar, depois é só aproveitar a sua noite com toda a segurança.
 </p>
 <br/>
 <p>
  <strong>
   Atenção:
  </strong>
  Algumas das embalagens podem sofrer alterações por parte do fornecedor, permanecendo as características do produto, tais como: função, composição, peso e quantidade, sem tempo hábil para serem atualizadas em nosso site.
 </p>
 <br/>
 <p>
  Imagens meramente ilustrativas. Visualizações em mobile e desktop podem sofrer alterações de cor.
 </p>
 <br/>
</div>
",,Saúde e beleza > Cuidados pessoais,Preservativos,Preservativos,Variação,N/A,,,46122,3.81,,https://miess.vteximg.com.br/arquivos/ids/218757-1000-1000/01110-Uva_1.jpg?v=637528814050570000,TRUE,shopify,100,deny,manual,TRUE,TRUE,FALSE,,,active,Preservativos
preservativos-lubrificados-aromáticos-leve-8-pague-6-sex-free,Preservativos Lubrificados Aromáticos Leve 8 Pague 6 Sex Free,"<div class=""productDescription"">
 <p>
  Os Preservativos Aromáticos são perfeitos para deixar o seu momento ainda mais agradável e gostoso, além da proteção e segurança que as camisinhas da
  <strong>
   Sex Free
  </strong>
  trazem.
 </p>
 <br/>
 <p>
  Elas ainda possuem maravilhosos aromas de
  <strong>
   Menta
  </strong>
  e
  <strong>
   Morango,
  </strong>
  um melhor que o outro para você escolher o seu favorito. Também não podemos esquecer que além de todas essas delícias, ele também irá te proteger de doenças sexualmente transmissíveis.
 </p>
 <br/>
 <p>
  E suas principais características são que ele é um liso opaco, possui reservatório e tem lados paralelos, tudo isso para que se sinta confortável ao usá-lo.
 </p>
 <br/>
 <h3>
  <strong>
   Ficha Técnica
  </strong>
 </h3>
 <br/>
 <p>
  <strong>
   Contém:
  </strong>
  Um pacote com 8 unidades.
 </p>
 <br/>
 <p>
  <strong>
   Aroma:
  </strong>
  Menta e  Morango.
 </p>
 <br/>
 <p>
  <strong>
   Largura:
  </strong>
  52mm (Padrão)
 </p>
 <br/>
 <h3>
  <strong>
   Qual a composição do Preservativo da Sex Free?
  </strong>
 </h3>
 <br/>
 <p>
  Látex de borracha natural, óleo de silicone (lubrificante) e aroma artificial.
 </p>
 <br/>
 <h3>
  <strong>
   Como usar o Preservativo?
  </strong>
 </h3>
 <br/>
 <p>
  Abra a embalagem com cuidado e nunca abra com os dentes.Coloque a camisinha somente quando o pênis estiver ereto. Desenrole a camisinha até a base do pênis e antes aperte a ponta para retirar o ar, depois é só aproveitar a sua noite com toda a segurança.
 </p>
 <br/>
 <p>
  <strong>
   Atenção:
  </strong>
  Algumas das embalagens podem sofrer alterações por parte do fornecedor, permanecendo as características do produto, tais como: função, composição, peso e quantidade, sem tempo hábil para serem atualizadas em nosso site.
 </p>
 <br/>
 <p>
  Imagens meramente ilustrativas. Visualizações em mobile e desktop podem sofrer alterações de cor.
 </p>
</div>
",,Saúde e beleza > Cuidados pessoais,Preservativos,Preservativos,Variação,N/A,,,46125,7.75,,https://miess.vteximg.com.br/arquivos/ids/218767-1000-1000/03108-Menta_1.jpg?v=637528831523230000,TRUE,shopify,100,deny,manual,TRUE,TRUE,FALSE,,,active,Preservativos
preservativos-lubrificados-aromáticos-leve-8-pague-6-sex-free,Preservativos Lubrificados Aromáticos Leve 8 Pague 6 Sex Free,"<div class=""productDescription"">
 <p>
  Os Preservativos Aromáticos são perfeitos para deixar o seu momento ainda mais agradável e gostoso, além da proteção e segurança que as camisinhas da
  <strong>
   Sex Free
  </strong>
  trazem.
 </p>
 <br/>
 <p>
  Elas ainda possuem maravilhosos aromas de
  <strong>
   Menta
  </strong>
  e
  <strong>
   Morango,
  </strong>
  um melhor que o outro para você escolher o seu favorito. Também não podemos esquecer que além de todas essas delícias, ele também irá te proteger de doenças sexualmente transmissíveis.
 </p>
 <br/>
 <p>
  E suas principais características são que ele é um liso opaco, possui reservatório e tem lados paralelos, tudo isso para que se sinta confortável ao usá-lo.
 </p>
 <br/>
 <h3>
  <strong>
   Ficha Técnica
  </strong>
 </h3>
 <br/>
 <p>
  <strong>
   Contém:
  </strong>
  Um pacote com 8 unidades.
 </p>
 <br/>
 <p>
  <strong>
   Aroma:
  </strong>
  Menta e  Morango.
 </p>
 <br/>
 <p>
  <strong>
   Largura:
  </strong>
  52mm (Padrão)
 </p>
 <br/>
 <h3>
  <strong>
   Qual a composição do Preservativo da Sex Free?
  </strong>
 </h3>
 <br/>
 <p>
  Látex de borracha natural, óleo de silicone (lubrificante) e aroma artificial.
 </p>
 <br/>
 <h3>
  <strong>
   Como usar o Preservativo?
  </strong>
 </h3>
 <br/>
 <p>
  Abra a embalagem com cuidado e nunca abra com os dentes.Coloque a camisinha somente quando o pênis estiver ereto. Desenrole a camisinha até a base do pênis e antes aperte a ponta para retirar o ar, depois é só aproveitar a sua noite com toda a segurança.
 </p>
 <br/>
 <p>
  <strong>
   Atenção:
  </strong>
  Algumas das embalagens podem sofrer alterações por parte do fornecedor, permanecendo as características do produto, tais como: função, composição, peso e quantidade, sem tempo hábil para serem atualizadas em nosso site.
 </p>
 <br/>
 <p>
  Imagens meramente ilustrativas. Visualizações em mobile e desktop podem sofrer alterações de cor.
 </p>
</div>
",,Saúde e beleza > Cuidados pessoais,Preservativos,Preservativos,Variação,N/A,,,46126,7.75,,https://miess.vteximg.com.br/arquivos/ids/218769-1000-1000/03106-Morango_1.jpg?v=637528831572970000,TRUE,shopify,100,deny,manual,TRUE,TRUE,FALSE,,,active,Preservativos
preservativo-lubrificado-6-unidades-rilex,Preservativo Lubrificado 6 Unidades Rilex,"<div class=""productDescription"">
 Penetre, deslize e sinta todas as sensações com este
 <strong>
  Preservativo
 </strong>
 Masculino. Curta cada momento e previna-se de doenças sexualmente transmissíveis proporcionando mais segurança e conforto na hora da relação.
 <br/>
 <br/>
 <strong>
  Ficha Técnica
 </strong>
 <br/>
 <strong>
  Contém:
 </strong>
 6 unidades.
 <br/>
 <strong>
  Composição:
 </strong>
 Látex de borracha natural e óleo de silicone (lubrificante).
 <br/>
 <strong>
  Características:
 </strong>
 lisos, opacos, pontas com reservatório, lados paralelos, lubrificados e largura nominal de 52 mm. 100% testados eletronicamente.
 <br/>
 <br/>
 <strong>
  Precauções:
 </strong>
 <br/>
 Antes de usar leia atentamente as instruções de uso contidas no verso da embalagem. A eficácia do preservativo está diretamente ligada a seu uso correto. Contém látex, pode causar alergia. Abra somente na hora do uso.
 <br/>
 <br/>
 <strong>
  Recomendações:
 </strong>
 <br/>
 Sempre utilize um preservativo a cada relação sexual. Evite o contato com vaselina, silicone, óleo mineral ou outros produtos em base oleosa incompatíveis com borracha que podem danificar o látex, facilitando a ruptura do preservativo. Proteja o produto do calor, umidade e da luz.
 <br/>
 Se deseja utilizar um lubrificante, utilize somente à base d’água.
 <br/>
 <br/>
 100% dos lotes certificados pelo INMETRO e 100% dos produtos testados eletronicamente na fábrica.
 <br/>
 <br/>
</div>
",,Saúde e beleza > Cuidados pessoais,Preservativos,Preservativos,Variação,N/A,,,44034,5.46,,https://miess.vteximg.com.br/arquivos/ids/209823-1000-1000/R212_1.jpg?v=637370872888300000,TRUE,shopify,100,deny,manual,TRUE,TRUE,FALSE,,,active,Preservativos
preservativos-sabor-e-aroma-com-3-unidades-blowtex,Preservativos Sabor e Aroma com 3 unidades Blowtex,"<div class=""productDescription"">
 <p>
  Os preservativos
  <strong>
   Sabor
  </strong>
  e
  <strong>
   Aroma
  </strong>
  são uma ótima opção para você que deseja uma noite diferenciada e de uma água na boca, onde que com elas você sentirá o seu momento ainda mais agradável, além da proteção intensa que a
  <strong>
   Blowtex
  </strong>
  proporciona.
 </p>
 <br/>
 <p>
  Eles ainda possuem os mais deliciosos aromas de
  <strong>
   Menta
  </strong>
  ,
  <strong>
   Morango
  </strong>
  ,
  <strong>
   Tutti Frutti
  </strong>
  e
  <strong>
   Morango com chocolate
  </strong>
  , um mais gostoso que o outro para você escolher o seu preferido. E também não podemos esquecer da
  <strong>
   proteção
  </strong>
  que ele proporciona, evitando doenças sexualmente transmissíveis e gravidez indesejada.
 </p>
 <br/>
 <p>
  E suas principais características são que ele é um
  <strong>
   liso opaco
  </strong>
  , possui reservatório e tem lados paralelos, tudo isso para que se sinta
  <strong>
   confortável
  </strong>
  ao usá-lo.
 </p>
 <br/>
 <h3>
  <strong>
   Ficha Técnica
  </strong>
 </h3>
 <br/>
 <p>
  <strong>
   Contém:
  </strong>
  1 Pacote com 3 unidades.
 </p>
 <br/>
 <p>
  <strong>
   Aroma:
  </strong>
  Menta e Morango.
 </p>
 <br/>
 <p>
  <strong>
   Largura:
  </strong>
  52mm (Padrão).
 </p>
 <br/>
 <p>
  <strong>
   Validade:
  </strong>
  Presente na embalagem.
 </p>
 <br/>
 <h3>
  <strong>
   Qual a composição do Preservativo da Blowtex?
  </strong>
 </h3>
 <br/>
 <p>
  Látex de borracha natural, óleo de silicone (lubrificante) e aroma artifical.
 </p>
 <br/>
 <h3>
  <strong>
   Como usar o Preservativo?
  </strong>
 </h3>
 <br/>
 <p>
  Abra a embalagem com cuidado e nunca abra com os dentes.Coloque a camisinha somente quando o pênis estiver ereto. Desenrole a camisinha até a base do pênis e antes aperte a ponta para retirar o ar, depois é só aproveitar a sua noite com toda a segurança.
 </p>
 <br/>
 <p>
  <strong>
   Atenção:
  </strong>
  Algumas das embalagens podem sofrer alterações por parte do fornecedor, permanecendo as características do produto, tais como: função, composição, peso e quantidade, sem tempo hábil para serem atualizadas em nosso site.
 </p>
 <br/>
 <p>
  Imagens meramente ilustrativas. Visualizações em mobile e desktop podem sofrer alterações de cor.
 </p>
</div>
",,Saúde e beleza > Cuidados pessoais,Preservativos,Preservativos,Variação,Morango com Chocolate,,,48509,7.38,,https://miess.vteximg.com.br/arquivos/ids/227137-1000-1000/ISARCHOC-Morango-com-Chocolate_1.jpg?v=637618969472200000,TRUE,shopify,100,deny,manual,TRUE,TRUE,FALSE,,,active,Preservativos
