Handle,Title,Body (HTML),Vendor,Product Category,Product Type,Tags,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Price,Compare At Price,Image Src,Published,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Requires Shipping,Variant Taxable,Gift Card,SEO Title,SEO Description,Status
yummy-gel-térmico-beijável-sexy-fantasy,Yummy Gel Térmico Beijável Sexy Fantasy,"Yummy é um maravilhoso gel térmico beijável que deve ser utilizado para a pratica do sexo oral, sua principal função é esquentar, e em contato com a mucosa proporciona uma suave refrescância. Possui diversos sabores incríveis disponíveis: Caipirinha, Café, Cola, Chiclete, Chocolate, Ice Menta, Framboesa, Marula, Menta, Morango.Ficha técnica: Contém:  15ml.Embalagem:  Frasnaga.Não contém Glúten. Não contém Lactose. Modo de usar: Colocar a quantidade desejada na ponta dos dedos e aplicar no local, massageando delicadamente. O óleo em instantes irá dar uma leve aquecida e fará com que a massagem fique mais prazerosa e relaxante. Recomendações: Evite contato com os olhos. Projeta o produto do calor, da umidade e da luz. No caso de irritação, suspenda o uso e, se necessário, procure orientação médica.Mantenha fora do alcance das crianças.Confira também: Calcinha Comestível Yummy.",,Saúde e beleza > Cuidados pessoais > Lubrificantes pessoais,Comestiveis,comestiveis,Variação,Cola,,,33503,4.035,,https://miess.vteximg.com.br/arquivos/ids/228495-1000-1000/YUM4128-Cola_1.jpg?v=637629132094670000,TRUE,shopify,,deny,manual,TRUE,TRUE,FALSE,,,active
yummy-gel-térmico-beijável-sexy-fantasy,Yummy Gel Térmico Beijável Sexy Fantasy,"Yummy é um maravilhoso gel térmico beijável que deve ser utilizado para a pratica do sexo oral, sua principal função é esquentar, e em contato com a mucosa proporciona uma suave refrescância. Possui diversos sabores incríveis disponíveis: Caipirinha, Café, Cola, Chiclete, Chocolate, Ice Menta, Framboesa, Marula, Menta, Morango.Ficha técnica: Contém:  15ml.Embalagem:  Frasnaga.Não contém Glúten. Não contém Lactose. Modo de usar: Colocar a quantidade desejada na ponta dos dedos e aplicar no local, massageando delicadamente. O óleo em instantes irá dar uma leve aquecida e fará com que a massagem fique mais prazerosa e relaxante. Recomendações: Evite contato com os olhos. Projeta o produto do calor, da umidade e da luz. No caso de irritação, suspenda o uso e, se necessário, procure orientação médica.Mantenha fora do alcance das crianças.Confira também: Calcinha Comestível Yummy.",,Saúde e beleza > Cuidados pessoais > Lubrificantes pessoais,Comestiveis,comestiveis,Variação,Menta,,,33504,4.035,,https://miess.vteximg.com.br/arquivos/ids/228497-1000-1000/YUM4127-Menta_1.jpg?v=637629132846730000,TRUE,shopify,,deny,manual,TRUE,TRUE,FALSE,,,active
yummy-gel-térmico-beijável-sexy-fantasy,Yummy Gel Térmico Beijável Sexy Fantasy,"Yummy é um maravilhoso gel térmico beijável que deve ser utilizado para a pratica do sexo oral, sua principal função é esquentar, e em contato com a mucosa proporciona uma suave refrescância. Possui diversos sabores incríveis disponíveis: Caipirinha, Café, Cola, Chiclete, Chocolate, Ice Menta, Framboesa, Marula, Menta, Morango.Ficha técnica: Contém:  15ml.Embalagem:  Frasnaga.Não contém Glúten. Não contém Lactose. Modo de usar: Colocar a quantidade desejada na ponta dos dedos e aplicar no local, massageando delicadamente. O óleo em instantes irá dar uma leve aquecida e fará com que a massagem fique mais prazerosa e relaxante. Recomendações: Evite contato com os olhos. Projeta o produto do calor, da umidade e da luz. No caso de irritação, suspenda o uso e, se necessário, procure orientação médica.Mantenha fora do alcance das crianças.Confira também: Calcinha Comestível Yummy.",,Saúde e beleza > Cuidados pessoais > Lubrificantes pessoais,Comestiveis,comestiveis,Variação,Morango,,,33505,4.035,,https://miess.vteximg.com.br/arquivos/ids/228499-1000-1000/YUM4129-Morango_1.jpg?v=637629133395400000,TRUE,shopify,,deny,manual,TRUE,TRUE,FALSE,,,active
yummy-gel-térmico-beijável-sexy-fantasy,Yummy Gel Térmico Beijável Sexy Fantasy,"Yummy é um maravilhoso gel térmico beijável que deve ser utilizado para a pratica do sexo oral, sua principal função é esquentar, e em contato com a mucosa proporciona uma suave refrescância. Possui diversos sabores incríveis disponíveis: Caipirinha, Café, Cola, Chiclete, Chocolate, Ice Menta, Framboesa, Marula, Menta, Morango.Ficha técnica: Contém:  15ml.Embalagem:  Frasnaga.Não contém Glúten. Não contém Lactose. Modo de usar: Colocar a quantidade desejada na ponta dos dedos e aplicar no local, massageando delicadamente. O óleo em instantes irá dar uma leve aquecida e fará com que a massagem fique mais prazerosa e relaxante. Recomendações: Evite contato com os olhos. Projeta o produto do calor, da umidade e da luz. No caso de irritação, suspenda o uso e, se necessário, procure orientação médica.Mantenha fora do alcance das crianças.Confira também: Calcinha Comestível Yummy.",,Saúde e beleza > Cuidados pessoais > Lubrificantes pessoais,Comestiveis,comestiveis,Variação,Framboesa,,,33506,4.035,,https://miess.vteximg.com.br/arquivos/ids/228501-1000-1000/YUM4133-Framboesa_1.jpg?v=637629133901200000,TRUE,shopify,,deny,manual,TRUE,TRUE,FALSE,,,active
yummy-gel-térmico-beijável-sexy-fantasy,Yummy Gel Térmico Beijável Sexy Fantasy,"Yummy é um maravilhoso gel térmico beijável que deve ser utilizado para a pratica do sexo oral, sua principal função é esquentar, e em contato com a mucosa proporciona uma suave refrescância. Possui diversos sabores incríveis disponíveis: Caipirinha, Café, Cola, Chiclete, Chocolate, Ice Menta, Framboesa, Marula, Menta, Morango.Ficha técnica: Contém:  15ml.Embalagem:  Frasnaga.Não contém Glúten. Não contém Lactose. Modo de usar: Colocar a quantidade desejada na ponta dos dedos e aplicar no local, massageando delicadamente. O óleo em instantes irá dar uma leve aquecida e fará com que a massagem fique mais prazerosa e relaxante. Recomendações: Evite contato com os olhos. Projeta o produto do calor, da umidade e da luz. No caso de irritação, suspenda o uso e, se necessário, procure orientação médica.Mantenha fora do alcance das crianças.Confira também: Calcinha Comestível Yummy.",,Saúde e beleza > Cuidados pessoais > Lubrificantes pessoais,Comestiveis,comestiveis,Variação,Ice Menta,,,33507,4.035,,https://miess.vteximg.com.br/arquivos/ids/228503-1000-1000/YUM4134-Ice-Menta_1.jpg?v=637629135784770000,TRUE,shopify,,deny,manual,TRUE,TRUE,FALSE,,,active
yummy-gel-térmico-beijável-sexy-fantasy,Yummy Gel Térmico Beijável Sexy Fantasy,"Yummy é um maravilhoso gel térmico beijável que deve ser utilizado para a pratica do sexo oral, sua principal função é esquentar, e em contato com a mucosa proporciona uma suave refrescância. Possui diversos sabores incríveis disponíveis: Caipirinha, Café, Cola, Chiclete, Chocolate, Ice Menta, Framboesa, Marula, Menta, Morango.Ficha técnica: Contém:  15ml.Embalagem:  Frasnaga.Não contém Glúten. Não contém Lactose. Modo de usar: Colocar a quantidade desejada na ponta dos dedos e aplicar no local, massageando delicadamente. O óleo em instantes irá dar uma leve aquecida e fará com que a massagem fique mais prazerosa e relaxante. Recomendações: Evite contato com os olhos. Projeta o produto do calor, da umidade e da luz. No caso de irritação, suspenda o uso e, se necessário, procure orientação médica.Mantenha fora do alcance das crianças.Confira também: Calcinha Comestível Yummy.",,Saúde e beleza > Cuidados pessoais > Lubrificantes pessoais,Comestiveis,comestiveis,Variação,Chiclete,,,33508,4.035,,https://miess.vteximg.com.br/arquivos/ids/228505-1000-1000/YUM4135-Chiclete_1.jpg?v=637629137990900000,TRUE,shopify,,deny,manual,TRUE,TRUE,FALSE,,,active
yummy-gel-térmico-beijável-sexy-fantasy,Yummy Gel Térmico Beijável Sexy Fantasy,"Yummy é um maravilhoso gel térmico beijável que deve ser utilizado para a pratica do sexo oral, sua principal função é esquentar, e em contato com a mucosa proporciona uma suave refrescância. Possui diversos sabores incríveis disponíveis: Caipirinha, Café, Cola, Chiclete, Chocolate, Ice Menta, Framboesa, Marula, Menta, Morango.Ficha técnica: Contém:  15ml.Embalagem:  Frasnaga.Não contém Glúten. Não contém Lactose. Modo de usar: Colocar a quantidade desejada na ponta dos dedos e aplicar no local, massageando delicadamente. O óleo em instantes irá dar uma leve aquecida e fará com que a massagem fique mais prazerosa e relaxante. Recomendações: Evite contato com os olhos. Projeta o produto do calor, da umidade e da luz. No caso de irritação, suspenda o uso e, se necessário, procure orientação médica.Mantenha fora do alcance das crianças.Confira também: Calcinha Comestível Yummy.",,Saúde e beleza > Cuidados pessoais > Lubrificantes pessoais,Comestiveis,comestiveis,Variação,Chocolate,,,33509,4.035,,https://miess.vteximg.com.br/arquivos/ids/228507-1000-1000/YUM4136-Chocolate_1.jpg?v=637629138398770000,TRUE,shopify,,deny,manual,TRUE,TRUE,FALSE,,,active
yummy-gel-térmico-beijável-sexy-fantasy,Yummy Gel Térmico Beijável Sexy Fantasy,"Yummy é um maravilhoso gel térmico beijável que deve ser utilizado para a pratica do sexo oral, sua principal função é esquentar, e em contato com a mucosa proporciona uma suave refrescância. Possui diversos sabores incríveis disponíveis: Caipirinha, Café, Cola, Chiclete, Chocolate, Ice Menta, Framboesa, Marula, Menta, Morango.Ficha técnica: Contém:  15ml.Embalagem:  Frasnaga.Não contém Glúten. Não contém Lactose. Modo de usar: Colocar a quantidade desejada na ponta dos dedos e aplicar no local, massageando delicadamente. O óleo em instantes irá dar uma leve aquecida e fará com que a massagem fique mais prazerosa e relaxante. Recomendações: Evite contato com os olhos. Projeta o produto do calor, da umidade e da luz. No caso de irritação, suspenda o uso e, se necessário, procure orientação médica.Mantenha fora do alcance das crianças.Confira também: Calcinha Comestível Yummy.",,Saúde e beleza > Cuidados pessoais > Lubrificantes pessoais,Comestiveis,comestiveis,Variação,Caipirinha,,,33510,4.035,,https://miess.vteximg.com.br/arquivos/ids/228510-1000-1000/YUM4138-Caipirinha_1.jpg?v=637629139775770000,TRUE,shopify,,deny,manual,TRUE,TRUE,FALSE,,,active
yummy-gel-térmico-beijável-sexy-fantasy,Yummy Gel Térmico Beijável Sexy Fantasy,"Yummy é um maravilhoso gel térmico beijável que deve ser utilizado para a pratica do sexo oral, sua principal função é esquentar, e em contato com a mucosa proporciona uma suave refrescância. Possui diversos sabores incríveis disponíveis: Caipirinha, Café, Cola, Chiclete, Chocolate, Ice Menta, Framboesa, Marula, Menta, Morango.Ficha técnica: Contém:  15ml.Embalagem:  Frasnaga.Não contém Glúten. Não contém Lactose. Modo de usar: Colocar a quantidade desejada na ponta dos dedos e aplicar no local, massageando delicadamente. O óleo em instantes irá dar uma leve aquecida e fará com que a massagem fique mais prazerosa e relaxante. Recomendações: Evite contato com os olhos. Projeta o produto do calor, da umidade e da luz. No caso de irritação, suspenda o uso e, se necessário, procure orientação médica.Mantenha fora do alcance das crianças.Confira também: Calcinha Comestível Yummy.",,Saúde e beleza > Cuidados pessoais > Lubrificantes pessoais,Comestiveis,comestiveis,Variação,Amarula,,,33511,4.035,,https://miess.vteximg.com.br/arquivos/ids/228513-1000-1000/YUM4139-Amarula_2.jpg?v=637629140692200000,TRUE,shopify,,deny,manual,TRUE,TRUE,FALSE,,,active
yummy-gel-térmico-beijável-sexy-fantasy,Yummy Gel Térmico Beijável Sexy Fantasy,"Yummy é um maravilhoso gel térmico beijável que deve ser utilizado para a pratica do sexo oral, sua principal função é esquentar, e em contato com a mucosa proporciona uma suave refrescância. Possui diversos sabores incríveis disponíveis: Caipirinha, Café, Cola, Chiclete, Chocolate, Ice Menta, Framboesa, Marula, Menta, Morango.Ficha técnica: Contém:  15ml.Embalagem:  Frasnaga.Não contém Glúten. Não contém Lactose. Modo de usar: Colocar a quantidade desejada na ponta dos dedos e aplicar no local, massageando delicadamente. O óleo em instantes irá dar uma leve aquecida e fará com que a massagem fique mais prazerosa e relaxante. Recomendações: Evite contato com os olhos. Projeta o produto do calor, da umidade e da luz. No caso de irritação, suspenda o uso e, se necessário, procure orientação médica.Mantenha fora do alcance das crianças.Confira também: Calcinha Comestível Yummy.",,Saúde e beleza > Cuidados pessoais > Lubrificantes pessoais,Comestiveis,comestiveis,Variação,Café,,,33512,4.035,,https://miess.vteximg.com.br/arquivos/ids/228514-1000-1000/YUM4137-Cafe_1.jpg?v=637629141629900000,TRUE,shopify,,deny,manual,TRUE,TRUE,FALSE,,,active
yummy-gel-térmico-beijável-sexy-fantasy,Yummy Gel Térmico Beijável Sexy Fantasy,"Yummy é um maravilhoso gel térmico beijável que deve ser utilizado para a pratica do sexo oral, sua principal função é esquentar, e em contato com a mucosa proporciona uma suave refrescância. Possui diversos sabores incríveis disponíveis: Caipirinha, Café, Cola, Chiclete, Chocolate, Ice Menta, Framboesa, Marula, Menta, Morango.Ficha técnica: Contém:  15ml.Embalagem:  Frasnaga.Não contém Glúten. Não contém Lactose. Modo de usar: Colocar a quantidade desejada na ponta dos dedos e aplicar no local, massageando delicadamente. O óleo em instantes irá dar uma leve aquecida e fará com que a massagem fique mais prazerosa e relaxante. Recomendações: Evite contato com os olhos. Projeta o produto do calor, da umidade e da luz. No caso de irritação, suspenda o uso e, se necessário, procure orientação médica.Mantenha fora do alcance das crianças.Confira também: Calcinha Comestível Yummy.",,Saúde e beleza > Cuidados pessoais > Lubrificantes pessoais,Comestiveis,comestiveis,Variação,Guaraná,,,48799,4.035,,https://miess.vteximg.com.br/arquivos/ids/228320-1000-1000/YUM4142-Guarana_1.jpg?v=637624824789200000,TRUE,shopify,,deny,manual,TRUE,TRUE,FALSE,,,active
yummy-gel-térmico-beijável-sexy-fantasy,Yummy Gel Térmico Beijável Sexy Fantasy,"Yummy é um maravilhoso gel térmico beijável que deve ser utilizado para a pratica do sexo oral, sua principal função é esquentar, e em contato com a mucosa proporciona uma suave refrescância. Possui diversos sabores incríveis disponíveis: Caipirinha, Café, Cola, Chiclete, Chocolate, Ice Menta, Framboesa, Marula, Menta, Morango.Ficha técnica: Contém:  15ml.Embalagem:  Frasnaga.Não contém Glúten. Não contém Lactose. Modo de usar: Colocar a quantidade desejada na ponta dos dedos e aplicar no local, massageando delicadamente. O óleo em instantes irá dar uma leve aquecida e fará com que a massagem fique mais prazerosa e relaxante. Recomendações: Evite contato com os olhos. Projeta o produto do calor, da umidade e da luz. No caso de irritação, suspenda o uso e, se necessário, procure orientação médica.Mantenha fora do alcance das crianças.Confira também: Calcinha Comestível Yummy.",,Saúde e beleza > Cuidados pessoais > Lubrificantes pessoais,Comestiveis,comestiveis,Variação,Leite Condensado,,,48853,4.035,,https://miess.vteximg.com.br/arquivos/ids/228560-1000-1000/YUM4141-Leite-Condensado_1.jpg?v=637629300893330000,TRUE,shopify,,deny,manual,TRUE,TRUE,FALSE,,,active
yummy-gel-térmico-beijável-sexy-fantasy,Yummy Gel Térmico Beijável Sexy Fantasy,"Yummy é um maravilhoso gel térmico beijável que deve ser utilizado para a pratica do sexo oral, sua principal função é esquentar, e em contato com a mucosa proporciona uma suave refrescância. Possui diversos sabores incríveis disponíveis: Caipirinha, Café, Cola, Chiclete, Chocolate, Ice Menta, Framboesa, Marula, Menta, Morango.Ficha técnica: Contém:  15ml.Embalagem:  Frasnaga.Não contém Glúten. Não contém Lactose. Modo de usar: Colocar a quantidade desejada na ponta dos dedos e aplicar no local, massageando delicadamente. O óleo em instantes irá dar uma leve aquecida e fará com que a massagem fique mais prazerosa e relaxante. Recomendações: Evite contato com os olhos. Projeta o produto do calor, da umidade e da luz. No caso de irritação, suspenda o uso e, se necessário, procure orientação médica.Mantenha fora do alcance das crianças.Confira também: Calcinha Comestível Yummy.",,Saúde e beleza > Cuidados pessoais > Lubrificantes pessoais,Comestiveis,comestiveis,Variação,Creme-de-Avelã,,,48854,4.035,,https://miess.vteximg.com.br/arquivos/ids/228567-1000-1000/YUM4140-Creme-de-Avela_1.jpg?v=637629767877270000,TRUE,shopify,,deny,manual,TRUE,TRUE,FALSE,,,active
